district,school_name,project_#,description,fy_constr_start,total
02,P.S./I.S. 217 - Manhattan,DSF0000675115,State of Good Repair - System Replacements - Roofs,2011,2347267
02,P.S./I.S. 217 - Manhattan,DSF0000675116,State of Good Repair - System Replacements - Windows,2011,3980290
02,P.S./I.S. 217 - Manhattan,DSF0000675117,State of Good Repair - System Replacements - Exterior Masonry,2011,3000471
02,P.S./I.S. 217 - Manhattan,DSF0000710071,State of Good Repair - System Replacements - Parapets,2011,1847285
02,SCHL OF THE FUTURE (OLD BACON) - Manhattan,DSF0000610077,State of Good Repair - System Replacements - Parapets,2010,243639
02,SCHL OF THE FUTURE (OLD BACON) - Manhattan,DSF0000610078,State of Good Repair - System Replacements - Exterior Masonry,2010,2515908
02,SCHL OF THE FUTURE (OLD BACON) - Manhattan,DSF0000675733,State of Good Repair - System Replacements - Roofs,2010,751307
02,SCHL OF THE FUTURE (OLD BACON) - Manhattan,DSF0000699450,State of Good Repair - Building Upgrade - Flood Elimination,2012,1292923
02,SCHL OF THE FUTURE (OLD BACON) - Manhattan,DSF0000764849,State of Good Repair - Building Upgrade - Elevators and Escalators,2014,449486
03,P.S. 75 - Manhattan,DSF0000607945,State of Good Repair - System Replacements - Floors,2010,99457
03,P.S. 75 - Manhattan,DSF0000739818,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2013,759979
03,P.S. 75 - Manhattan,DSF0000752897,State of Good Repair - System Replacements - Electrical Systems,2013,787556
03,P.S. 84 - Manhattan,DSF0000673699,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2010,1020814
03,I.S. 88 - Manhattan,DSF0000673740,State of Good Repair - Building Upgrade - Flood Elimination,2011,1180368
03,I.S. 88 - Manhattan,DSF0000753151,Educational Enhancements - Educational Enhancements - School Improvement and,2014,1198678
03,I.S. 88 - Manhattan,DSF0000754247,Educational Enhancements - Educational Enhancements - School Improvement and,2013,720429
03,I.S. 88 - Manhattan,DSF0000755258,Educational Enhancements - Educational Enhancements - Room,2014,331600
03,I.S. 88 - Manhattan,DSF0000775788,Educational Enhancements - Educational Enhancements - School Improvement and,2014,226775
03,I.S. 88 - Manhattan,DSF0000775847,Educational Enhancements - Educational Enhancements - Room,2014,358193
03,I.S. 88 - Manhattan,DSF0000775851,Educational Enhancements - Educational Enhancements - Room,2014,474958
03,I.S. 88 - Manhattan,DSF0000777734,Educational Enhancements - Educational Enhancements - School Improvement and,2014,288614
03,I.S. 88 - Manhattan,DSF0000799487,Educational Enhancements - Educational Enhancements - Room,2014,497424
03,P.S. 241 - Manhattan,DSF0000406612,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2010,570683
