district,school_name,project_#,description,fy_constr_start,total
17,I.S. 390 - Brooklyn,DSF0000777704,Educational Enhancements - Educational Enhancements - School Improvement and,2014,344756
17,I.S. 390 - Brooklyn,DSF0000798163,Educational Enhancements - Educational Enhancements - School Improvement and,2014,80000
17,I.S. 391 - Brooklyn,DSF0000545285,State of Good Repair - Building Upgrade - Elevators and Escalators,2011,375000
17,P.S. 241 MINISCHOOL - Brooklyn,DSF0000752836,State of Good Repair - System Replacements - Heating Plant Upgrade,2012,308659
17,P.S. 138 AX (CROWN HGTS ECC 1) - Brooklyn,DSF0000717629,State of Good Repair - System Replacements - Heating Plant Upgrade,2012,252519
17,P.S. 138 AX (CROWN HGTS ECC 1) - Brooklyn,DSF0000738842,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2013,80694
17,I.S. 340 (OLD 249 AX) - Brooklyn,DSF0000717650,State of Good Repair - Building Upgrade - Flood Elimination,2013,1013805
17,P.S. 189 MINISCHOOL - Brooklyn,DSF0000799899,State of Good Repair - System Replacements - Heating Plant Upgrade,2014,154548
17,P.S. 221 MINISCHOOL - Brooklyn,DSF0000752837,State of Good Repair - System Replacements - Heating Plant Upgrade,2013,390799
18,P.S. 114 - Brooklyn,DSF0000712839,State of Good Repair - System Replacements - Exterior Masonry,2013,3327006
18,P.S. 115 - Brooklyn,DSF0000401261,State of Good Repair - System Replacements - Exterior Masonry,2010,3936468
18,P.S. 115 - Brooklyn,DSF0000667507,State of Good Repair - System Replacements - Roofs,2010,1752879
18,P.S. 115 - Brooklyn,DSF0000667508,State of Good Repair - System Replacements - Parapets,2010,1151737
18,P.S. 135 - Brooklyn,DSF0000667762,State of Good Repair - Building Upgrade - Flood Elimination,2010,1041729
18,P.S. 135 - Brooklyn,DSF0000667764,State of Good Repair - System Replacements - Roofs,2010,979120
18,P.S. 135 - Brooklyn,DSF0000667765,State of Good Repair - System Replacements - Parapets,2010,947070
18,P.S. 208 - Brooklyn,DSF0000668949,Educational Enhancements - Educational Enhancements - Library Upgrades,2011,747291
18,P.S. 208 - Brooklyn,DSF0000758443,State of Good Repair - System Replacements - Gymnasium Upgrade,2014,370421
18,I.S. 211 - Brooklyn,DSF0000714287,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2012,1485819
18,I.S. 211 - Brooklyn,DSF0000714292,State of Good Repair - System Replacements - Roofs,2012,2618835
18,I.S. 211 - Brooklyn,DSF0000714293,State of Good Repair - System Replacements - Parapets,2012,573197
18,P.S. 219 - Brooklyn,DSF0000669148,State of Good Repair - System Replacements - Parapets,2011,446933
18,P.S. 219 - Brooklyn,DSF0000669149,State of Good Repair - System Replacements - Exterior Masonry,2011,3357671
18,P.S. 219 - Brooklyn,DSF0000688200,State of Good Repair - System Replacements - Roofs,2011,241729
18,P.S. 219 - Brooklyn,DSF0000758627,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2014,851776
18,I.S. 232 - Brooklyn,DSF0000688161,Educational Enhancements - Educational Enhancements - Room,2010,282460
18,I.S. 232 - Brooklyn,DSF0000753119,State of Good Repair - System Replacements - Domestic Piping,2014,780709
18,P.S. 233 - Brooklyn,DSF0000735988,State of Good Repair - Building Upgrade - Climate Control,2013,68077
18,P.S. 235 - Brooklyn,DSF0000402816,State of Good Repair - System Replacements - Gymnasium Upgrade,2011,429221
18,P.S. 235 - Brooklyn,DSF0000714725,State of Good Repair - System Replacements - Parapets,2012,2912285
18,P.S. 235 - Brooklyn,DSF0000736028,State of Good Repair - System Replacements - Exterior Masonry,2012,1396573
18,P.S. 235 ANNEX - Brooklyn,DSF0000736149,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2013,672292
18,P.S. 244 - Brooklyn,DSF0000736190,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2011,73444
18,I.S. 285 - Brooklyn,DSF0000670230,State of Good Repair - Building Upgrade - Climate Control,2011,1313893
18,I.S. 285 - Brooklyn,DSF0000670237,State of Good Repair - System Replacements - Heating Plant Upgrade,2011,5343539
18,I.S. 285 - Brooklyn,DSF0000736831,State of Good Repair - Building Upgrade - Flood Elimination,2013,950625
18,I.S. 285 - Brooklyn,DSF0000775552,State of Good Repair - System Replacements - Cafeteria / Multipurpose Room Upgrade,2013,70942
18,I.S. 285 - Brooklyn,DSF0000782320,State of Good Repair - System Replacements - Toilets-Students,2014,74716
18,P.S. 219 ANNEX - Brooklyn,DSF0000672434,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2010,425574
18,P.S. 219 ANNEX - Brooklyn,DSF0000672456,State of Good Repair - System Replacements - Cafeteria / Multipurpose Room Upgrade,2010,1562823
18,P.S. 219 ANNEX - Brooklyn,DSF0000752418,Educational Enhancements - Educational Enhancements - Room,2012,1676020
19,P.S. 13 - Brooklyn,DSF0000665987,State of Good Repair - Building Upgrade - Elevators and Escalators,2011,783850
19,P.S. 13 - Brooklyn,DSF0000752845,State of Good Repair - Rehabilitation of Physical Education Facilities - Playground,2012,206599
19,P.S. 72 - Brooklyn,DSF0000733621,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2013,1325143
19,P.S. 108 - Brooklyn,DSF0000734097,State of Good Repair - System Replacements - Auditorium Upgrade,2013,806829
19,P.S. 108 - Brooklyn,DSF0000734101,State of Good Repair - System Replacements - Cafeteria / Multipurpose Room Upgrade,2013,827922
19,P.S. 158 - Brooklyn,DSF0000401705,State of Good Repair - System Replacements - Exterior Masonry,2010,4483663
19,P.S. 158 - Brooklyn,DSF0000602268,State of Good Repair - Building Upgrade - Flood Elimination,2010,1149425
19,I.S. 171 - Brooklyn,DSF0000668313,State of Good Repair - System Replacements - Paved Area-Blacktop,2011,852486
19,I.S. 171 - Brooklyn,DSF0000668314,State of Good Repair - System Replacements - Fencing,2011,417707
19,I.S. 171 - Brooklyn,DSF0000710963,State of Good Repair - System Replacements - Parapets,2011,139982
19,I.S. 171 - Brooklyn,SCA0000008889,State of Good Repair - System Replacements - Exterior Masonry,2011,5239509
19,P.S. 190 - Brooklyn,DSF0000668599,State of Good Repair - System Replacements - Roofs,2010,1945482
19,P.S. 190 - Brooklyn,DSF0000668600,State of Good Repair - System Replacements - Parapets,2010,2658592
19,P.S. 190 - Brooklyn,DSF0000709427,State of Good Repair - System Replacements - Exterior Masonry,2010,2841208
19,P.S. 202 - Brooklyn,DSF0000735437,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2013,1143648
19,P.S. 202 - Brooklyn,DSF0000777724,Educational Enhancements - Educational Enhancements - School Improvement and,2014,288614
19,P.S. 214 - Brooklyn,DSF0000693404,State of Good Repair - Building Upgrade - Flood Elimination,2011,987381
19,P.S. 214 - Brooklyn,DSF0000693406,State of Good Repair - System Replacements - Parapets,2011,370959
19,P.S. 214 - Brooklyn,DSF0000693407,State of Good Repair - System Replacements - Windows,2011,2124866
19,P.S. 214 - Brooklyn,DSF0000693408,State of Good Repair - System Replacements - Exterior Masonry,2011,5841095
19,P.S. 214 - Brooklyn,DSF0000710270,State of Good Repair - System Replacements - Roofs,2011,277390
19,P.S. 214 - Brooklyn,DSF0000781085,State of Good Repair - System Replacements - Toilets-Students,2014,52184
19,P.S. 260 - Brooklyn,DSF0000669837,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2011,788916
19,P.S. 273 - Brooklyn,DSF0000670048,State of Good Repair - System Replacements - Roofs,2010,1313790
19,P.S. 273 - Brooklyn,DSF0000670049,State of Good Repair - System Replacements - Parapets,2010,2184836
19,P.S. 273 - Brooklyn,DSF0000670050,State of Good Repair - System Replacements - Exterior Masonry,2010,2279365
19,I.S. 292 - Brooklyn,DSF0000670376,State of Good Repair - System Replacements - Exterior Masonry,2011,5826047
19,I.S. 302 - Brooklyn,DSF0000604716,State of Good Repair - Building Upgrade - Flood Elimination,2010,464466
19,I.S. 302 - Brooklyn,DSF0000604717,State of Good Repair - System Replacements - Roofs,2010,2164516
19,I.S. 302 - Brooklyn,DSF0000604718,State of Good Repair - System Replacements - Windows,2010,4005612
19,I.S. 302 - Brooklyn,DSF0000604719,State of Good Repair - System Replacements - Exterior Masonry,2010,5587270
19,I.S. 302 - Brooklyn,DSF0000759975,State of Good Repair - Building Upgrade - Elevators and Escalators,2013,262500
19,P.S. 306 - Brooklyn,DSF0000670584,State of Good Repair - Rehabilitation of Physical Education Facilities - Playground,2011,1472030
19,P.S. 328 - Brooklyn,DSF0000737380,State of Good Repair - System Replacements - Gymnasium Upgrade,2014,409850
19,P.S. 346 - Brooklyn,DSF0000716220,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2013,1298541
19,P.S. 346 - Brooklyn,DSF0000716223,State of Good Repair - Building Upgrade - Flood Elimination,2013,454411
20,P.S. 48 - Brooklyn,DSF0000666546,State of Good Repair - System Replacements - Roofs,2010,1148130
20,P.S. 48 - Brooklyn,DSF0000666547,State of Good Repair - System Replacements - Parapets,2010,2878165
20,P.S. 48 - Brooklyn,DSF0000666548,State of Good Repair - System Replacements - Exterior Masonry,2010,2064673
20,I.S. 62 - Brooklyn,DSF0000778802,State of Good Repair - System Replacements - Heating Plant Upgrade,2014,61389
20,P.S. 102 - Brooklyn,DSF0000712672,State of Good Repair - Building Upgrade - Flood Elimination,2012,4063223
20,P.S. 104 - Brooklyn,SCA0000009611,State of Good Repair - System Replacements - Parapets,2011,468385
20,P.S. 112 - Brooklyn,DSF0000667453,State of Good Repair - Building Upgrade - Flood Elimination,2011,784401
20,P.S. 112 - Brooklyn,DSF0000667454,State of Good Repair - System Replacements - Parapets,2011,685497
20,P.S. 112 - Brooklyn,DSF0000667455,State of Good Repair - System Replacements - Exterior Masonry,2011,974649
20,P.S. 127 - Brooklyn,DSF0000710278,State of Good Repair - System Replacements - Exterior Masonry,2012,3395185
20,P.S. 127 - Brooklyn,DSF0000757166,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2014,750687
20,P.S. 127 - Brooklyn,DSF0000775638,State of Good Repair - System Replacements - Domestic Piping,2014,1104269
20,P.S. 160 - Brooklyn,DSF0000732405,State of Good Repair - System Replacements - Cafeteria / Multipurpose Room Upgrade,2013,473147
20,P.S. 163 - Brooklyn,DSF0000713495,State of Good Repair - System Replacements - Exterior Masonry,2013,3697526
20,P.S. 163 - Brooklyn,DSF0000731012,Educational Enhancements - Educational Enhancements - Room,2011,544969
20,P.S. 163 - Brooklyn,DSF0000752833,State of Good Repair - System Replacements - Parapets,2013,192266
20,P.S. 163 - Brooklyn,DSF0000752834,State of Good Repair - System Replacements - Roofs,2013,249165
20,P.S. 164 - Brooklyn,DSF0000731524,State of Good Repair - Rehabilitation of Physical Education Facilities - Playground,2012,650940
20,P.S. 164 - Brooklyn,DSF0000734828,State of Good Repair - Building Upgrade - Flood Elimination,2013,2281993
20,P.S. 164 - Brooklyn,DSF0000753115,State of Good Repair - System Replacements - Domestic Piping,2013,1005431
20,P.S. 176 - Brooklyn,DSF0000688365,State of Good Repair - Rehabilitation of Physical Education Facilities - Playground,2010,742265
20,P.S. 179 - Brooklyn,DSF0000735052,State of Good Repair - System Replacements - Paved Area-Blacktop,2013,782825
20,P.S. 180 - Brooklyn,DSF0000668451,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2010,682481
20,P.S. 180 - Brooklyn,DSF0000735062,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2013,763236
20,P.S. 185 - Brooklyn,DSF0000668523,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2011,824320
20,P.S. 185 - Brooklyn,DSF0000713828,State of Good Repair - System Replacements - Parapets,2013,2860330
20,P.S. 185 - Brooklyn,DSF0000735139,State of Good Repair - System Replacements - Windows,2013,1732969
20,P.S. 185 - Brooklyn,DSF0000735140,State of Good Repair - System Replacements - Exterior Masonry,2013,3838787
20,P.S. 186 - Brooklyn,DSF0000668548,State of Good Repair - System Replacements - Toilets-Students,2010,1715996
20,P.S. 186 - Brooklyn,DSF0000758026,State of Good Repair - System Replacements - Heating Plant Upgrade,2014,275000
20,P.S. 186 - Brooklyn,DSF0000777285,State of Good Repair - System Replacements - Heating Plant Upgrade,2013,291548
20,P.S. 192 - Brooklyn,DSF0000668636,State of Good Repair - System Replacements - Parapets,2010,179879
20,P.S. 192 - Brooklyn,DSF0000668637,State of Good Repair - System Replacements - Exterior Masonry,2010,2118691
20,P.S. 200 - Brooklyn,DSF0000735401,State of Good Repair - System Replacements - Exterior Masonry,2014,3724977
20,I.S. 201 - Brooklyn,DSF0000735414,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2014,2192416
20,I.S. 201 - Brooklyn,DSF0000735418,State of Good Repair - Building Upgrade - Reinforcing Support Elements,2014,1277926
20,I.S. 201 - Brooklyn,DSF0000735420,State of Good Repair - System Replacements - Parapets,2014,4109977
20,I.S. 201 - Brooklyn,DSF0000735421,State of Good Repair - System Replacements - Exterior Masonry,2014,17025171
20,I.S. 201 - Brooklyn,DSF0000758297,State of Good Repair - Building Upgrade - Flood Elimination,2014,2607125
20,I.S. 201 - Brooklyn,DSF0000758299,State of Good Repair - System Replacements - Roofs,2014,1553583
20,P.S. 204 - Brooklyn,DSF0000622221,Safety and Security - Safety and Security - Code Compliance,2010,738864
20,P.S. 204 - Brooklyn,DSF0000622442,State of Good Repair - Rehabilitation of Physical Education Facilities - Playground,2010,530955
20,P.S. 204 - Brooklyn,DSF0000735474,State of Good Repair - Building Upgrade - Flood Elimination,2014,1466095
20,P.S. 204 - Brooklyn,DSF0000735477,State of Good Repair - System Replacements - Parapets,2014,5426809
20,P.S. 204 - Brooklyn,DSF0000758359,State of Good Repair - System Replacements - Roofs,2014,2612529
20,P.S. 204 - Brooklyn,DSF0000758361,State of Good Repair - System Replacements - Exterior Masonry,2014,9602195
20,P.S. 204 - Brooklyn,DSF0000758365,State of Good Repair - System Replacements - Paved Area-Concrete,2014,1147304
20,P.S. 205 - Brooklyn,DSF0000668883,State of Good Repair - Building Upgrade - Flood Elimination,2010,1983158
20,I.S. 220 - Brooklyn,DSF0000693521,State of Good Repair - System Replacements - Auditorium Upgrade,2011,128153
20,I.S. 220 - Brooklyn,DSF0000735771,Educational Enhancements - Educational Enhancements - Library Upgrades,2014,944829
20,I.S. 220 - Brooklyn,DSF0000754375,State of Good Repair - System Replacements - Exterior Masonry,2014,2953431
20,I.S. 220 - Brooklyn,DSF0000758647,State of Good Repair - System Replacements - Roofs,2014,1263568
20,I.S. 220 - Brooklyn,DSF0000758648,State of Good Repair - System Replacements - Parapets,2014,1877987
20,I.S. 223 - Brooklyn,DSF0000714516,State of Good Repair - Building Upgrade - Flood Elimination,2013,5183259
20,I.S. 227 - Brooklyn,DSF0000669301,State of Good Repair - Building Upgrade - Flood Elimination,2010,628130
20,P.S. 229 - Brooklyn,DSF0000402725,State of Good Repair - Rehabilitation of Physical Education Facilities - Playground,2010,144839
20,I.S. 259 - Brooklyn,DSF0000710016,Safety and Security - Safety and Security - Emergency Lighting and Fire Safety Retrofits,2011,268769
20,I.S. 259 - Brooklyn,DSF0000776006,State of Good Repair - System Replacements - Heating Plant Upgrade,2013,75710
20,P.S. 314 - Brooklyn,DSF0000403791,State of Good Repair - Building Upgrade - Elevators and Escalators,2011,248288
20,P.S. 314 - Brooklyn,DSF0000737234,State of Good Repair - System Replacements - Heating Plant Upgrade,2014,262883
20,P.S. 314 - Brooklyn,DSF0000752894,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2014,2113408
20,I.S. 187 - Brooklyn,DSF0000695890,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2011,520992
20,I.S. 187 - Brooklyn,DSF0000738079,Educational Enhancements - Educational Enhancements - Library Upgrades,2014,999137
20,I.S. 187 - Brooklyn,DSF0000754557,State of Good Repair - System Replacements - Parapets,2014,7795663
20,I.S. 187 - Brooklyn,DSF0000761015,State of Good Repair - System Replacements - Roofs,2014,1344616
20,I.S. 187 - Brooklyn,DSF0000761017,State of Good Repair - System Replacements - Exterior Masonry,2014,3084450
21,I.S. 98 - Brooklyn,DSF0000666470,State of Good Repair - System Replacements - Roofs,2011,2887523
21,I.S. 98 - Brooklyn,DSF0000666471,State of Good Repair - System Replacements - Parapets,2011,445353
21,I.S. 98 - Brooklyn,DSF0000666472,State of Good Repair - System Replacements - Exterior Masonry,2011,2246849
21,I.S. 98 - Brooklyn,DSF0000666482,Safety and Security - Safety and Security - Safety Systems,2011,351177
21,I.S. 98 - Brooklyn,DSF0000711880,State of Good Repair - System Replacements - Gymnasium Upgrade,2013,813481
21,I.S. 98 - Brooklyn,DSF0000775861,Gymnasium Upgrade,2014,51369
21,P.S. 90 - Brooklyn,DSF0000733789,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2014,668743
21,P.S. 90 - Brooklyn,DSF0000775946,Elevators and Escalators,2013,150000
21,P.S. 90 - Brooklyn,DSF0000777720,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2014,623968
21,P.S. 95 - Brooklyn,DSF0000401027,State of Good Repair - System Replacements - Exterior Masonry,2010,1515068
21,P.S. 95 - Brooklyn,DSF0000667188,State of Good Repair - System Replacements - Windows,2010,2786387
21,I.S. 96 - Brooklyn,DSF0000601389,State of Good Repair - System Replacements - Toilets-Students,2010,1262660
21,I.S. 96 - Brooklyn,DSF0000622453,State of Good Repair - Building Upgrade - Flood Elimination,2010,799170
21,P.S. 97 - Brooklyn,DSF0000667232,State of Good Repair - System Replacements - Exterior Masonry,2011,831022
21,P.S. 97 - Brooklyn,DSF0000731206,State of Good Repair - System Replacements - Exterior Masonry,2013,8321439
21,P.S. 97 - Brooklyn,DSF0000733924,State of Good Repair - System Replacements - Parapets,2013,2225408
21,P.S. 97 - Brooklyn,DSF0000733937,State of Good Repair - System Replacements - Heating Plant Upgrade,2013,179601
21,P.S. 97 - Brooklyn,DSF0000754282,State of Good Repair - System Replacements - Roofs,2013,1465907
21,P.S. 99 - Brooklyn,DSF0000691674,State of Good Repair - System Replacements - Kitchen Areas,2011,188756
21,P.S. 100 - Brooklyn,DSF0000667274,State of Good Repair - System Replacements - Electrical Systems,2010,854274
21,P.S. 121 - Brooklyn,DSF0000601788,State of Good Repair - System Replacements - Toilets-Students,2010,799821
21,P.S. 121 - Brooklyn,DSF0000757090,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2014,927454
21,P.S. 121 - Brooklyn,DSF0000777240,Safety and Security - Safety and Security - Emergency Lighting and Fire Safety Retrofits,2014,45863
21,P.S. 121 - Brooklyn,SCA0000005245,State of Good Repair - System Replacements - Parapets,2010,1788896
21,P.S. 153 - Brooklyn,DSF0000713333,State of Good Repair - Building Upgrade - Flood Elimination,2013,469369
21,P.S. 153 - Brooklyn,DSF0000713336,State of Good Repair - System Replacements - Exterior Masonry,2013,2875449
21,P.S. 153 - Brooklyn,DSF0000734669,State of Good Repair - System Replacements - Parapets,2013,387557
21,P.S. 177 - Brooklyn,DSF0000735011,State of Good Repair - System Replacements - Auditorium Upgrade,2013,1204479
21,P.S. 188 - Brooklyn,DSF0000544141,State of Good Repair - System Replacements - Gymnasium Upgrade,2010,11793834
21,P.S. 188 - Brooklyn,DSF0000709418,State of Good Repair - System Replacements - Gymnasium Upgrade,2010,4904140
21,P.S. 188 - Brooklyn,DSF0000775860,Gymnasium Upgrade,2013,375776
21,P.S. 212 - Brooklyn,DSF0000714313,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2013,1281999
21,P.S. 216 - Brooklyn,DSF0000714387,State of Good Repair - Building Upgrade - Flood Elimination,2014,720563
21,P.S. 216 - Brooklyn,DSF0000753098,State of Good Repair - System Replacements - Exterior Masonry,2014,555732
21,P.S. 216 - Brooklyn,DSF0000753099,State of Good Repair - System Replacements - Parapets,2014,910106
21,P.S. 225 - Brooklyn,DSF0000693604,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2011,638423
21,P.S. 225 - Brooklyn,DSF0000693611,State of Good Repair - System Replacements - Electrical Systems,2011,632287
21,P.S. 226 - Brooklyn,DSF0000603480,State of Good Repair - System Replacements - Toilets-Students,2011,1643722
21,P.S. 226 - Brooklyn,DSF0000669283,State of Good Repair - Building Upgrade - Flood Elimination,2010,491522
21,I.S. 228 - Brooklyn,DSF0000710275,Educational Enhancements - Educational Enhancements - Room,2011,611056
21,I.S. 228 - Brooklyn,DSF0000735913,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2014,1534071
21,I.S. 239 - Brooklyn,DSF0000669484,Safety and Security - Safety and Security - Safety Systems,2011,580934
21,P.S. 253 - Brooklyn,DSF0000669695,State of Good Repair - Building Upgrade - Climate Control,2010,630370
21,P.S. 253 - Brooklyn,DSF0000669700,State of Good Repair - System Replacements - Heating Plant Upgrade,2010,5369774
21,I.S. 281 - Brooklyn,DSF0000775879,Room Conversions/Partitioning,2014,171935
21,P.S. 288 - Brooklyn,DSF0000604528,State of Good Repair - System Replacements - Floors,2010,585744
21,I.S. 303 - Brooklyn,DSF0000403665,State of Good Repair - System Replacements - Paved Area-Concrete,2010,1552367
21,I.S. 303 - Brooklyn,DSF0000775878,Room Conversions/Partitioning,2013,229201
21,P.S. 329 - Brooklyn,DSF0000670864,State of Good Repair - System Replacements - Windows,2011,1136468
21,P.S. 329 - Brooklyn,DSF0000710961,State of Good Repair - System Replacements - Roofs,2011,4126777
21,P.S. 329 - Brooklyn,DSF0000775877,Room Conversions/Partitioning,2013,350194
22,I.S. 14 - Brooklyn,DSF0000666011,State of Good Repair - Building Upgrade - Flood Elimination,2012,526029
22,I.S. 14 - Brooklyn,DSF0000666013,State of Good Repair - System Replacements - Parapets,2012,1544866
22,I.S. 14 - Brooklyn,DSF0000666020,State of Good Repair - System Replacements - Paved Area-Blacktop,2011,885971
22,I.S. 14 - Brooklyn,DSF0000732757,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2013,1412447
22,I.S. 14 - Brooklyn,DSF0000732764,State of Good Repair - System Replacements - Exterior Masonry,2012,3433216
22,I.S. 14 - Brooklyn,DSF0000732772,State of Good Repair - System Replacements - Fencing,2012,333134
22,I.S. 14 - Brooklyn,DSF0000752860,State of Good Repair - System Replacements - Roofs,2012,1732620
22,P.S. 52 - Brooklyn,DSF0000666636,State of Good Repair - System Replacements - Paved Area-Concrete,2011,508774
22,I.S. 78 - Brooklyn,DSF0000666956,State of Good Repair - Building Upgrade - Flood Elimination,2011,759342
22,I.S. 78 - Brooklyn,DSF0000666958,State of Good Repair - System Replacements - Exterior Masonry,2011,1722586
22,P.S. 139 - Brooklyn,DSF0000667845,State of Good Repair - System Replacements - Electrical Systems,2010,962911
22,P.S. 139 - Brooklyn,DSF0000713170,State of Good Repair - System Replacements - Parapets,2014,2433235
22,P.S. 139 - Brooklyn,DSF0000734499,State of Good Repair - System Replacements - Exterior Masonry,2014,6250871
22,P.S. 139 - Brooklyn,DSF0000779813,State of Good Repair - System Replacements - Roofs,2014,2041060
22,P.S. 152 - Brooklyn,DSF0000401633,Exterior Masonry,2010,TBD
22,P.S. 152 - Brooklyn,DSF0000731144,State of Good Repair - System Replacements - Roofs,2013,3625723
22,P.S. 152 - Brooklyn,DSF0000734656,State of Good Repair - Building Upgrade - Reinforcing Support Elements,2013,4359621
22,P.S. 152 - Brooklyn,DSF0000753062,State of Good Repair - System Replacements - Parapets,2013,5261600
22,P.S. 152 - Brooklyn,DSF0000753063,State of Good Repair - System Replacements - Exterior Masonry,2013,2457791
22,P.S. 152 - Brooklyn,DSF0000753064,State of Good Repair - System Replacements - Windows,2013,686364
22,P.S. 152 - Brooklyn,DSF0000757469,State of Good Repair - Building Upgrade - Flood Elimination,2013,230923
22,P.S. 152 - Brooklyn,DSF0000779966,State of Good Repair - Building Upgrade - Climate Control,2014,48000
22,P.S. 194 - Brooklyn,DSF0000713973,State of Good Repair - System Replacements - Roofs,2012,150527
22,P.S. 194 - Brooklyn,DSF0000713977,State of Good Repair - System Replacements - Toilets-Students,2012,1587651
22,P.S. 195 - Brooklyn,DSF0000753118,State of Good Repair - System Replacements - Domestic Piping,2014,710681
22,P.S. 197 - Brooklyn,DSF0000735341,State of Good Repair - System Replacements - Roofs,2013,1793359
22,P.S. 197 - Brooklyn,DSF0000753031,Educational Enhancements - Educational Enhancements - Room,2013,1059735
22,P.S. 197 - Brooklyn,DSF0000754389,State of Good Repair - System Replacements - Parapets,2013,181173
22,P.S. 198 - Brooklyn,DSF0000622441,State of Good Repair - Rehabilitation of Physical Education Facilities - Playground,2011,387021
22,P.S. 203 - Brooklyn,DSF0000668848,State of Good Repair - Building Upgrade - Flood Elimination,2011,2345404
22,P.S. 203 - Brooklyn,DSF0000668850,State of Good Repair - System Replacements - Roofs,2011,1058021
22,P.S. 203 - Brooklyn,DSF0000668851,State of Good Repair - System Replacements - Parapets,2011,1342672
22,P.S. 203 - Brooklyn,DSF0000668852,State of Good Repair - System Replacements - Exterior Masonry,2011,2149587
22,P.S. 206 - Brooklyn,DSF0000732418,State of Good Repair - System Replacements - Exterior Masonry,2013,4962754
22,P.S. 206 - Brooklyn,DSF0000735510,State of Good Repair - Building Upgrade - Flood Elimination,2013,324263
22,P.S. 206 - Brooklyn,DSF0000735512,State of Good Repair - System Replacements - Roofs,2013,851565
22,P.S. 206 - Brooklyn,DSF0000753139,State of Good Repair - System Replacements - Parapets,2013,1575596
22,P.S. 206 - Brooklyn,DSF0000780936,State of Good Repair - System Replacements - Toilets-Students,2014,53670
22,P.S. 207 - Brooklyn,DSF0000730984,State of Good Repair - System Replacements - Parapets,2013,3863020
22,P.S. 207 - Brooklyn,DSF0000731129,State of Good Repair - System Replacements - Heating Plant Upgrade,2012,61041
22,P.S. 207 - Brooklyn,DSF0000735529,State of Good Repair - Building Upgrade - Flood Elimination,2013,271467
22,P.S. 207 - Brooklyn,DSF0000735531,State of Good Repair - System Replacements - Roofs,2013,924361
22,P.S. 207 - Brooklyn,DSF0000735532,State of Good Repair - System Replacements - Exterior Masonry,2013,1039031
22,P.S. 207 - Brooklyn,DSF0000735536,State of Good Repair - System Replacements - Floors,2014,520762
22,P.S. 207 - Brooklyn,DSF0000780964,State of Good Repair - System Replacements - Domestic Piping,2014,356671
22,P.S. 217 - Brooklyn,DSF0000622443,State of Good Repair - Rehabilitation of Physical Education Facilities - Playground,2010,519068
22,P.S. 222 - Brooklyn,DSF0000714499,State of Good Repair - System Replacements - Roofs,2012,1404497
22,P.S. 222 - Brooklyn,DSF0000714500,State of Good Repair - System Replacements - Exterior Masonry,2012,519124
22,I.S. 234 - Brooklyn,DSF0000603620,State of Good Repair - System Replacements - Toilets-Students,2010,1841257
22,I.S. 234 - Brooklyn,DSF0000714709,State of Good Repair - System Replacements - Exterior Masonry,2012,4399485
22,I.S. 234 - Brooklyn,DSF0000736010,State of Good Repair - System Replacements - Roofs,2012,2043287
22,I.S. 234 - Brooklyn,DSF0000736011,State of Good Repair - System Replacements - Parapets,2012,3006308
22,I.S. 234 - Brooklyn,DSF0000752424,State of Good Repair - System Replacements - Windows,2012,2586328
22,P.S. 236 - Brooklyn,DSF0000669441,State of Good Repair - Building Upgrade - Flood Elimination,2011,358177
22,P.S. 236 - Brooklyn,DSF0000669443,State of Good Repair - System Replacements - Exterior Masonry,2011,1900178
22,I.S. 240 - Brooklyn,DSF0000736108,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2014,962205
22,I.S. 240 - Brooklyn,DSF0000736110,State of Good Repair - Building Upgrade - Flood Elimination,2014,2167530
22,I.S. 240 - Brooklyn,DSF0000736111,State of Good Repair - System Replacements - Parapets,2014,3660503
22,P.S. 251 - Brooklyn,DSF0000669662,State of Good Repair - System Replacements - Floors,2011,917237
