,actual_est_completion,borough,building_id,constr_start,design_start,district,forecast_capacity,funding_reqd_fy15-19,needed_to_complete,previous_appropriations,program_category,project_#,reason,school_name,source,special_notes,total_est_cost,location
1409,,Bronx,X043,,,07,,,,,Toilets-Students,,,P.S. 43,,,,
1410,,Bronx,X049,,,07,,,,,Boiler Conversion,,,P.S. 49,,,,
1411,,Bronx,X049,,,07,,,,,Classroom Connectivity,,,P.S. 49,,,,
1412,,Bronx,X049,,,07,,,,,Lighting Fixtures,,,P.S. 49,,,,
1413,,Bronx,X049,,,07,,,,,Parapets,,,P.S. 49,,,,
1414,,Bronx,X065,,,07,,,,,Cafeteria / Multipurpose Room Upgrade,,,P.S. 65,,,,
1415,,Bronx,X065,,,07,,,,,Classroom Connectivity,,,P.S. 65,,,,
1416,,Bronx,X065,,,07,,,,,Domestic Piping,,,P.S. 65,,,,
1417,,Bronx,X065,,,07,,,,,Lighting Fixtures,,,P.S. 65,,,,
1418,,Bronx,X065,,,07,,,,,Low-Voltage Electrical Systems,,,P.S. 65,,,,
1419,,Bronx,X065,,,07,,,,,Technology,,,P.S. 65,,,,
1420,,Bronx,X139,,,07,,,,,Boiler Conversion,,,J.H.S. 222,,,,
1421,,Bronx,X139,,,07,,,,,Classroom Connectivity,,,J.H.S. 222,,,,
1422,,Bronx,X139,,,07,,,,,Classroom Connectivity,,,J.H.S. 222,,,,
1423,,Bronx,X139,,,07,,,,,Classroom Connectivity,,,J.H.S. 222,,,,
1424,,Bronx,X139,,,07,,,,,Roofs,,,J.H.S. 222,,,,
1425,,Bronx,X139,,,07,,,,,Science Lab Upgrades,,,J.H.S. 222,,,,
1426,,Bronx,X149,,,07,,,,,Boiler Conversion,,,J.H.S. 149,,,,
1427,,Bronx,X149,,,07,,,,,Heating Plant Upgrade,,,J.H.S. 149,,,,
1428,,Bronx,X149,,,07,,,,,IP Digital Video Surveillance,,,J.H.S. 149,,,,
1429,,Bronx,X149,,,07,,,,,New/Retrofit Telephone/Intercom System,,,J.H.S. 149,,,,
1430,,Bronx,X149,,,07,,,,,Room Conversions/Partitioning,,,J.H.S. 149,,,,
1431,,Bronx,X149,,,07,,,,,Science Lab Upgrades,,,J.H.S. 149,,,,
1432,,Bronx,X149,,,07,,,,,Technology,,,J.H.S. 149,,,,
1433,,Bronx,X151,,,07,,,,,Classroom Connectivity,,,I.S. 151,,,,
1434,,Bronx,X151,,,07,,,,,Elevators and Escalators,,,I.S. 151,,,,
1435,,Bronx,X151,,,07,,,,,Flood Elimination,,,I.S. 151,,,,
1436,,Bronx,X151,,,07,,,,,New/Retrofit Telephone/Intercom System,,,I.S. 151,,,,
1437,,Bronx,X154,,,07,,,,,Boiler Conversion,,,P.S. 154,,,,
1438,,Bronx,X154,,,07,,,,,Classroom Connectivity,,,P.S. 154,,,,
1439,,Bronx,X154,,,07,,,,,Domestic Piping,,,P.S. 154,,,,
1440,,Bronx,X154,,,07,,,,,Low-Voltage Electrical Systems,,,P.S. 154,,,,
1441,,Bronx,X154,,,07,,,,,New/Retrofit Telephone/Intercom System,,,P.S. 154,,,,
1442,,Bronx,X156,,,07,,,,,Auditorium Upgrade,,,P.S. 156,,,,
1443,,Bronx,X156,,,07,,,,,Classroom Connectivity,,,P.S. 156,,,,
1444,,Bronx,X156,,,07,,,,,Code Compliance,,,P.S. 156,,,,
1445,,Bronx,X156,,,07,,,,,Elevators and Escalators,,,P.S. 156,,,,
1446,,Bronx,X156,,,07,,,,,Flood Elimination,,,P.S. 156,,,,
1447,,Bronx,X156,,,07,,,,,Low-Voltage Electrical Systems,,,P.S. 156,,,,
1448,,Bronx,X156,,,07,,,,,Playground Redevelopment,,,P.S. 156,,,,
1449,,Bronx,X156,,,07,,,,,Reinforcing Support Elements,,,P.S. 156,,,,
1450,,Bronx,X157,,,07,,,,,Boiler Conversion,,,P.S. 157,,,,
1451,,Bronx,X157,,,07,,,,,Classroom Connectivity,,,P.S. 157,,,,
1452,,Bronx,X157,,,07,,,,,Climate Control,,,P.S. 157,,,,
1453,,Bronx,X157,,,07,,,,,New/Retrofit Telephone/Intercom System,,,P.S. 157,,,,
1454,,Bronx,X157,,,07,,,,,Playground Redevelopment,,,P.S. 157,,,,
1455,,Bronx,X161,,,07,,,,,Boiler Conversion,,,P.S. 161,,,,
1456,,Bronx,X161,,,07,,,,,Classroom Connectivity,,,P.S. 161,,,,
1457,,Bronx,X161,,,07,,,,,Exterior Masonry,,,P.S. 161,,,,
1458,,Bronx,X161,,,07,,,,,Heating Plant Upgrade,,,P.S. 161,,,,
1459,,Bronx,X161,,,07,,,,,New/Retrofit Telephone/Intercom System,,,P.S. 161,,,,
1460,,Bronx,X161,,,07,,,,,New/Retrofit Telephone/Intercom System,,,P.S. 161,,,,
1461,,Bronx,X161,,,07,,,,,Parapets,,,P.S. 161,,,,
1462,,Bronx,X161,,,07,,,,,Roofs,,,P.S. 161,,,,
1463,,Bronx,X161,,,07,,,,,Windows,,,P.S. 161,,,,
1464,,Bronx,X162,,,07,,,,,Boiler Conversion,,,I.S. 162,,,,
1465,,Bronx,X162,,,07,,,,,Classroom Connectivity,,,I.S. 162,,,,
1466,,Bronx,X162,,,07,,,,,Classroom Connectivity,,,I.S. 162,,,,
1467,,Bronx,X162,,,07,,,,,IP Digital Video Surveillance,,,I.S. 162,,,,
1468,,Bronx,X162,,,07,,,,,New/Retrofit Telephone/Intercom System,,,I.S. 162,,,,
1469,,Bronx,X162,,,07,,,,,Room Conversions/Partitioning,,,I.S. 162,,,,
1470,,Bronx,X162,,,07,,,,,Science Lab Upgrades,,,I.S. 162,,,,
1471,,Bronx,X183,,,07,,,,,Air Conditioning Retrofit,,,J.H.S. 203,,,,
1472,,Bronx,X183,,,07,,,,,Boiler Conversion,,,J.H.S. 203,,,,
1473,,Bronx,X183,,,07,,,,,Classroom Connectivity,,,J.H.S. 203,,,,
1474,,Bronx,X183,,,07,,,,,Climate Control,,,J.H.S. 203,,,,
1475,,Bronx,X183,,,07,,,,,Elevators and Escalators,,,J.H.S. 203,,,,
1476,,Bronx,X183,,,07,,,,,Lighting Fixtures,,,J.H.S. 203,,,,
1477,,Bronx,X183,,,07,,,,,Low-Voltage Electrical Systems,,,J.H.S. 203,,,,
1478,,Bronx,X183,,,07,,,,,New/Retrofit Telephone/Intercom System,,,J.H.S. 203,,,,
1479,,Bronx,X183,,,07,,,,,Room Conversions/Partitioning,,,J.H.S. 203,,,,
1480,,Bronx,X183,,,07,,,,,Technology,,,J.H.S. 203,,,,
1481,,Bronx,X183,,,07,,,,,Technology,,,J.H.S. 203,,,,
1482,,Bronx,X184,,,07,,,,,Boiler Conversion,,,I.S. 184,,,,
1483,,Bronx,X184,,,07,,,,,Classroom Connectivity,,,I.S. 184,,,,
1484,,Bronx,X184,,,07,,,,,Climate Control,,,I.S. 184,,,,
1485,,Bronx,X184,,,07,,,,,New/Retrofit Telephone/Intercom System,,,I.S. 184,,,,
1486,,Bronx,X184,,,07,,,,,Paved Area-Blacktop,,,I.S. 184,,,,
1487,,Bronx,X184,,,07,,,,,Science Lab Upgrades,,,I.S. 184,,,,
1488,,Bronx,X014,,,08,,,,,Classroom Connectivity,,,P.S. 14,,,,
1489,,Bronx,X014,,,08,,,,,Lighting Fixtures,,,P.S. 14,,,,
1490,,Bronx,X014,,,08,,,,,Low-Voltage Electrical Systems,,,P.S. 14,,,,
1491,,Bronx,X036,,,08,,,,,Classroom Connectivity,,,P.S. 36,,,,
1492,,Bronx,X036,,,08,,,,,New/Retrofit Telephone/Intercom System,,,P.S. 36,,,,
1493,,Bronx,X036,,,08,,,,,Playground Redevelopment,,,P.S. 36,,,,
1494,,Bronx,X048,,,08,,,,,Classroom Connectivity,,,P.S. 48,,,,
1495,,Bronx,X052,,,08,,,,,Classroom Connectivity,,,I.S. 302,,,,
1496,,Bronx,X052,,,08,,,,,Classroom Connectivity,,,I.S. 302,,,,
1497,,Bronx,X052,,,08,,,,,Climate Control,,,I.S. 302,,,,
1498,,Bronx,X052,,,08,,,,,Fire Supression System,,,I.S. 302,,,,
1499,,Bronx,X052,,,08,,,,,IP Digital Video Surveillance,,,I.S. 302,,,,
1500,,Bronx,X052,,,08,,,,,Low-Voltage Electrical Systems,,,I.S. 302,,,,
1501,,Bronx,X052,,,08,,,,,Ventilation,,,I.S. 302,,,,
1502,,Bronx,X060,,,08,,,,,Classroom Connectivity,,,P.S. 333,,,,
1503,,Bronx,X060,,,08,,,,,Floors,,,P.S. 333,,,,
1504,,Bronx,X060,,,08,,,,,Heating Plant Upgrade,,,P.S. 333,,,,
1505,,Bronx,X060,,,08,,,,,Lighting Fixtures,,,P.S. 333,,,,
1506,,Bronx,X060,,,08,,,,,Parapets,,,P.S. 333,,,,
1507,,Bronx,X062,,,08,,,,,Classroom Connectivity,,,P.S. 62,,,,
1508,,Bronx,X062,,,08,,,,,Classroom Connectivity,,,P.S. 62,,,,
1509,,Bronx,X062,,,08,,,,,Lighting Fixtures,,,P.S. 62,,,,
1510,,Bronx,X062,,,08,,,,,New/Retrofit Telephone/Intercom System,,,P.S. 62,,,,
1511,,Bronx,X069,,,08,,,,,Flood Elimination,,,P.S. 69,,,,
1512,,Bronx,X069,,,08,,,,,Lighting Fixtures,,,P.S. 69,,,,
1513,,Bronx,X069,,,08,,,,,Parapets,,,P.S. 69,,,,
1514,,Bronx,X071,,,08,,,,,Classroom Connectivity,,,P.S. 71,,,,
1515,,Bronx,X071,,,08,,,,,Electrical Systems,,,P.S. 71,,,,
1516,,Bronx,X071,,,08,,,,,New/Retrofit Telephone/Intercom System,,,P.S. 71,,,,
1517,,Bronx,X072,,,08,,,,,Classroom Connectivity,,,P.S. 72,,,,
1518,,Bronx,X072,,,08,,,,,Playground Redevelopment,,,P.S. 72,,,,
1519,,Bronx,X072,,,08,,,,,Toilets-Students,,,P.S. 72,,,,
1520,,Bronx,X074,,,08,,,,,Cafeteria / Multipurpose Room Upgrade,,,I.S. 201,,,,
1521,,Bronx,X074,,,08,,,,,Classroom Connectivity,,,I.S. 201,,,,
1522,,Bronx,X074,,,08,,,,,Electrical Systems,,,I.S. 201,,,,
1523,,Bronx,X074,,,08,,,,,Elevators and Escalators,,,I.S. 201,,,,
1524,,Bronx,X074,,,08,,,,,Room Conversions/Partitioning,,,I.S. 201,,,,
1525,,Bronx,X075,,,08,,,,,Classroom Connectivity,,,P.S. 75,,,,
1526,,Bronx,X093,,,08,,,,,Classroom Connectivity,,,P.S. 93,,,,
1527,,Bronx,X093,,,08,,,,,New/Retrofit Telephone/Intercom System,,,P.S. 93,,,,
1528,,Bronx,X100,,,08,,,,,Lighting Fixtures,,,P.S. 100,,,,
1529,,Bronx,X100,,,08,,,,,New/Retrofit Telephone/Intercom System,,,P.S. 100,,,,
1530,,Bronx,X101,,,08,,,,,Classroom Connectivity,,,I.S. 101,,,,
1531,,Bronx,X101,,,08,,,,,New/Retrofit Telephone/Intercom System,,,I.S. 101,,,,
1532,,Bronx,X101,,,08,,,,,Playground Redevelopment,,,I.S. 101,,,,
1533,,Bronx,X107,,,08,,,,,Classroom Connectivity,,,P.S. 107,,,,
1534,,Bronx,X107,,,08,,,,,Domestic Piping,,,P.S. 107,,,,
1535,,Bronx,X107,,,08,,,,,New/Retrofit Telephone/Intercom System,,,P.S. 107,,,,
1536,,Bronx,X119,,,08,,,,,Classroom Connectivity,,,P.S. 119,,,,
1537,,Bronx,X119,,,08,,,,,New/Retrofit Telephone/Intercom System,,,P.S. 119,,,,
1538,,Bronx,X120,,,08,,,,,Boiler Conversion,,,I.S. 301,,,,
1539,,Bronx,X120,,,08,,,,,Classroom Connectivity,,,I.S. 301,,,,
1540,,Bronx,X120,,,08,,,,,Classroom Connectivity,,,I.S. 301,,,,
1541,,Bronx,X120,,,08,,,,,Gymnasium Upgrade,,,I.S. 301,,,,
1542,,Bronx,X123,,,08,,,,,Boiler Conversion,,,I.S. 123,,,,
1543,,Bronx,X123,,,08,,,,,Classroom Connectivity,,,I.S. 123,,,,
1544,,Bronx,X123,,,08,,,,,IP Digital Video Surveillance,,,I.S. 123,,,,
1545,,Bronx,X123,,,08,,,,,Lighting Fixtures,,,I.S. 123,,,,
1546,,Bronx,X125,,,08,,,,,Auditorium Upgrade,,,I.S. 125,,,,
1547,,Bronx,X125,,,08,,,,,Classroom Connectivity,,,I.S. 125,,,,
1548,,Bronx,X125,,,08,,,,,Exterior Masonry,,,I.S. 125,,,,
1549,,Bronx,X125,,,08,,,,,Gymnasium Upgrade,,,I.S. 125,,,,
1550,,Bronx,X125,,,08,,,,,New/Retrofit Telephone/Intercom System,,,I.S. 125,,,,
1551,,Bronx,X125,,,08,,,,,Parapets,,,I.S. 125,,,,
1552,,Bronx,X125,,,08,,,,,Roofs,,,I.S. 125,,,,
1553,,Bronx,X125,,,08,,,,,Room Conversions/Partitioning,,,I.S. 125,,,,
1554,,Bronx,X125,,,08,,,,,Safety Systems,,,I.S. 125,,,,
1555,,Bronx,X125,,,08,,,,,Science Lab Upgrades,,,I.S. 125,,,,
1556,,Bronx,X130,,,08,,,,,Boiler Conversion,,,P.S. 130,,,,
1557,,Bronx,X130,,,08,,,,,Classroom Connectivity,,,P.S. 130,,,,
1558,,Bronx,X130,,,08,,,,,Emergency Stabilization,,,P.S. 130,,,,
1559,,Bronx,X130,,,08,,,,,New/Retrofit Telephone/Intercom System,,,P.S. 130,,,,
1560,,Bronx,X130,,,08,,,,,Paved Area-Blacktop,,,P.S. 130,,,,
1561,,Bronx,X131,,,08,,,,,Boiler Conversion,,,I.S. 131,,,,
1562,,Bronx,X131,,,08,,,,,Classroom Connectivity,,,I.S. 131,,,,
1563,,Bronx,X131,,,08,,,,,Classroom Connectivity,,,I.S. 131,,,,
1564,,Bronx,X131,,,08,,,,,Classroom Connectivity,,,I.S. 131,,,,
1565,,Bronx,X131,,,08,,,,,IP Digital Video Surveillance,,,I.S. 131,,,,
1566,,Bronx,X131,,,08,,,,,Lighting Fixtures,,,I.S. 131,,,,
1567,,Bronx,X138,,,08,,,,,Boiler Conversion,,,P.S. 138,,,,
1568,,Bronx,X138,,,08,,,,,Classroom Connectivity,,,P.S. 138,,,,
1569,,Bronx,X138,,,08,,,,,Classroom Connectivity,,,P.S. 138,,,,
1570,,Bronx,X138,,,08,,,,,IP Digital Video Surveillance,,,P.S. 138,,,,
1571,,Bronx,X138,,,08,,,,,Lighting Fixtures,,,P.S. 138,,,,
1572,,Bronx,X138,,,08,,,,,New/Retrofit Telephone/Intercom System,,,P.S. 138,,,,
1573,,Bronx,X140,,,08,,,,,Classroom Connectivity,,,P.S. 140,,,,
1574,,Bronx,X140,,,08,,,,,Lighting Fixtures,,,P.S. 140,,,,
1575,,Bronx,X140,,,08,,,,,New/Retrofit Telephone/Intercom System,,,P.S. 140,,,,
1576,,Bronx,X146,,,08,,,,,Classroom Connectivity,,,P.S. 146,,,,
1577,,Bronx,X152,,,08,,,,,Classroom Connectivity,,,P.S. 152,,,,
1578,,Bronx,X152,,,08,,,,,Lighting Fixtures,,,P.S. 152,,,,
1579,,Bronx,X174,,,08,,,,,Boiler Conversion,,,I.S. 174,,,,
1580,,Bronx,X174,,,08,,,,,Classroom Connectivity,,,I.S. 174,,,,
1581,,Bronx,X174,,,08,,,,,Classroom Connectivity,,,I.S. 174,,,,
1582,,Bronx,X174,,,08,,,,,Classroom Connectivity,,,I.S. 174,,,,
1583,,Bronx,X174,,,08,,,,,Classroom Connectivity,,,I.S. 174,,,,
1584,,Bronx,X182,,,08,,,,,Classroom Connectivity,,,P.S. 182,,,,
1585,,Bronx,X182,,,08,,,,,Exterior Masonry,,,P.S. 182,,,,
1586,,Bronx,X182,,,08,,,,,New/Retrofit Telephone/Intercom System,,,P.S. 182,,,,
1587,,Bronx,X182,,,08,,,,,Windows,,,P.S. 182,,,,
1588,,Bronx,X192,,,08,,,,,Classroom Connectivity,,,I.S. 192,,,,
1589,,Bronx,X192,,,08,,,,,Elevators And Escalators,,,I.S. 192,,,,
1590,,Bronx,X192,,,08,,,,,Emergency Stabilization,,,I.S. 192,,,,
1591,,Bronx,X192,,,08,,,,,Lighting Fixtures,,,I.S. 192,,,,
1592,,Bronx,X192,,,08,,,,,New/Retrofit Telephone/Intercom System,,,I.S. 192,,,,
1593,,Bronx,X848,,,08,,,,,New/Retrofit Telephone/Intercom System,,,P.S. 48 AX (HNTS PNT ECC1),,,,
1594,,Bronx,X002,,,09,,,,,Classroom Connectivity,,,MORRISANIA SEC ED COMPLEX,,,,
1595,,Bronx,X002,,,09,,,,,Emergency Stabilization,,,MORRISANIA SEC ED COMPLEX,,,,
1596,,Bronx,X002,,,09,,,,,Lighting Fixtures,,,MORRISANIA SEC ED COMPLEX,,,,
1597,,Bronx,X002,,,09,,,,,New/Retrofit Telephone/Intercom System,,,MORRISANIA SEC ED COMPLEX,,,,
1598,,Bronx,X004,,,09,,,,,Classroom Connectivity,,,P.S. 4,,,,
1599,,Bronx,X004,,,09,,,,,Flood Elimination,,,P.S. 4,,,,
1600,,Bronx,X004,,,09,,,,,IP Digital Video Surveillance,,,P.S. 4,,,,
1601,,Bronx,X004,,,09,,,,,Roofs,,,P.S. 4,,,,
1602,,Bronx,X004,,,09,,,,,Technology,,,P.S. 4,,,,
1603,,Bronx,X011,,,09,,,,,Auditorium Upgrade,,,P.S. 11,,,,
1604,,Bronx,X011,,,09,,,,,Classroom Connectivity,,,P.S. 11,,,,
1605,,Bronx,X011,,,09,,,,,Lighting Fixtures,,,P.S. 11,,,,
1606,,Bronx,X011,,,09,,,,,New/Retrofit Telephone/Intercom System,,,P.S. 11,,,,
1607,,Bronx,X022,,,09,,,,,Boiler Conversion,,,I.S. 22,,,,
1608,,Bronx,X022,,,09,,,,,Classroom Connectivity,,,I.S. 22,,,,
1609,,Bronx,X022,,,09,,,,,Exterior Masonry,,,I.S. 22,,,,
1610,,Bronx,X022,,,09,,,,,Flood Elimination,,,I.S. 22,,,,
1611,,Bronx,X022,,,09,,,,,Low-Voltage Electrical Systems,,,I.S. 22,,,,
1612,,Bronx,X022,,,09,,,,,New/Retrofit Telephone/Intercom System,,,I.S. 22,,,,
1613,,Bronx,X022,,,09,,,,,Parapets,,,I.S. 22,,,,
1614,,Bronx,X028,,,09,,,,,Classroom Connectivity,,,P.S. 28,,,,
1615,,Bronx,X028,,,09,,,,,Exterior Masonry,,,P.S. 28,,,,
1616,,Bronx,X028,,,09,,,,,Flood Elimination,,,P.S. 28,,,,
1617,,Bronx,X028,,,09,,,,,Low-Voltage Electrical Systems,,,P.S. 28,,,,
1618,,Bronx,X028,,,09,,,,,New/Retrofit Telephone/Intercom System,,,P.S. 28,,,,
1619,,Bronx,X028,,,09,,,,,Parapets,,,P.S. 28,,,,
1620,,Bronx,X035,,,09,,,,,Classroom Connectivity,,,P.S. 35,,,,
1621,,Bronx,X035,,,09,,,,,New/Retrofit Telephone/Intercom System,,,P.S. 35,,,,
1622,,Bronx,X042,,,09,,,,,Classroom Connectivity,,,P.S. 42,,,,
1623,,Bronx,X042,,,09,,,,,Electrical Systems,,,P.S. 42,,,,
1624,,Bronx,X042,,,09,,,,,Lighting Fixtures,,,P.S. 42,,,,
1625,,Bronx,X042,,,09,,,,,New/Retrofit Telephone/Intercom System,,,P.S. 42,,,,
1626,,Bronx,X053,,,09,,,,,Auditorium Upgrade,,,P.S. 53,,,,
1627,,Bronx,X053,,,09,,,,,Classroom Connectivity,,,P.S. 53,,,,
1628,,Bronx,X053,,,09,,,,,Classroom Connectivity,,,P.S. 53,,,,
1629,,Bronx,X053,,,09,,,,,Electrical Systems,,,P.S. 53,,,,
1630,,Bronx,X053,,,09,,,,,Flood Elimination,,,P.S. 53,,,,
1631,,Bronx,X053,,,09,,,,,New/Retrofit Telephone/Intercom System,,,P.S. 53,,,,
1632,,Bronx,X055,,,09,,,,,Classroom Connectivity,,,P.S. 55,,,,
1633,,Bronx,X055,,,09,,,,,Classroom Connectivity,,,P.S. 55,,,,
1634,,Bronx,X055,,,09,,,,,Electrical Systems,,,P.S. 55,,,,
1635,,Bronx,X055,,,09,,,,,Heating Plant Upgrade,,,P.S. 55,,,,
1636,,Bronx,X055,,,09,,,,,IP Digital Video Surveillance,,,P.S. 55,,,,
1637,,Bronx,X055,,,09,,,,,Low-Voltage Electrical Systems,,,P.S. 55,,,,
1638,,Bronx,X055,,,09,,,,,New/Retrofit Telephone/Intercom System,,,P.S. 55,,,,
1639,,Bronx,X055,,,09,,,,,Parapets,,,P.S. 55,,,,
1640,,Bronx,X055,,,09,,,,,Room Conversions/Partitioning,,,P.S. 55,,,,
1641,,Bronx,X055,,,09,,,,,Technology,,,P.S. 55,,,,
1642,,Bronx,X058,,,09,,,,,Classroom Connectivity,,,P.S. 58,,,,
1643,,Bronx,X058,,,09,,,,,Low-Voltage Electrical Systems,,,P.S. 58,,,,
1644,,Bronx,X058,,,09,,,,,New/Retrofit Telephone/Intercom System,,,P.S. 58,,,,
1645,,Bronx,X063,,,09,,,,,Cafeteria / Multipurpose Room Upgrade,,,P.S. 63,,,,
1646,,Bronx,X063,,,09,,,,,Classroom Connectivity,,,P.S. 63,,,,
1647,,Bronx,X063,,,09,,,,,Low-Voltage Electrical Systems,,,P.S. 63,,,,
1648,,Bronx,X063,,,09,,,,,New/Retrofit Telephone/Intercom System,,,P.S. 63,,,,
1649,,Bronx,X064,,,09,,,,,Boiler Conversion,,,P.S. 64,,,,
1650,,Bronx,X064,,,09,,,,,Classroom Connectivity,,,P.S. 64,,,,
1651,,Bronx,X064,,,09,,,,,IP Digital Video Surveillance,,,P.S. 64,,,,
1652,,Bronx,X064,,,09,,,,,Walk In Freezer Replacement,,,P.S. 64,,,,
1653,,Bronx,X070,,,09,,,,,Classroom Connectivity,,,P.S. 70,,,,
1654,,Bronx,X070,,,09,,,,,Domestic Piping,,,P.S. 70,,,,
1655,,Bronx,X070,,,09,,,,,Lighting Fixtures,,,P.S. 70,,,,
1656,,Bronx,X070,,,09,,,,,New/Retrofit Telephone/Intercom System,,,P.S. 70,,,,
1657,,Bronx,X073,,,09,,,,,Auditorium Upgrade,,,P.S. 73,,,,
1658,,Bronx,X073,,,09,,,,,Classroom Connectivity,,,P.S. 73,,,,
1659,,Bronx,X073,,,09,,,,,Flood Elimination,,,P.S. 73,,,,
1660,,Bronx,X073,,,09,,,,,IP Digital Video Surveillance,,,P.S. 73,,,,
1661,,Bronx,X073,,,09,,,,,New/Retrofit Telephone/Intercom System,,,P.S. 73,,,,
1662,,Bronx,X073,,,09,,,,,Parapets,,,P.S. 73,,,,
1663,,Bronx,X082,,,09,,,,,Classroom Connectivity,,,I.S. 232,,,,
1664,,Bronx,X082,,,09,,,,,Classroom Connectivity,,,I.S. 232,,,,
1665,,Bronx,X082,,,09,,,,,Heating Plant Upgrade,,,I.S. 232,,,,
1666,,Bronx,X082,,,09,,,,,Low-Voltage Electrical Systems,,,I.S. 232,,,,
1667,,Bronx,X082,,,09,,,,,Science Lab Upgrades,,,I.S. 232,,,,
1668,,Bronx,X088,,,09,,,,,Boiler Conversion,,,P.S. 88,,,,
1669,,Bronx,X088,,,09,,,,,Classroom Connectivity,,,P.S. 88,,,,
1670,,Bronx,X088,,,09,,,,,Classroom Connectivity,,,P.S. 88,,,,
1671,,Bronx,X088,,,09,,,,,Electrical Systems,,,P.S. 88,,,,
1672,,Bronx,X088,,,09,,,,,Flood Elimination,,,P.S. 88,,,,
1673,,Bronx,X088,,,09,,,,,Low-Voltage Electrical Systems,,,P.S. 88,,,,
1674,,Bronx,X088,,,09,,,,,New/Retrofit Telephone/Intercom System,,,P.S. 88,,,,
1675,,Bronx,X090,,,09,,,,,Classroom Connectivity,,,P.S. 90,,,,
1676,,Bronx,X090,,,09,,,,,Classroom Connectivity,,,P.S. 90,,,,
1677,,Bronx,X090,,,09,,,,,Classroom Connectivity,,,P.S. 90,,,,
1678,,Bronx,X090,,,09,,,,,Domestic Piping,,,P.S. 90,,,,
1679,,Bronx,X090,,,09,,,,,Heating Plant Upgrade,,,P.S. 90,,,,
1680,,Bronx,X090,,,09,,,,,IP Digital Video Surveillance,,,P.S. 90,,,,
1681,,Bronx,X090,,,09,,,,,Paved Area-Concrete,,,P.S. 90,,,,
1682,,Bronx,X104,,,09,,,,,Classroom Connectivity,,,P.S. 199,,,,
1683,,Bronx,X104,,,09,,,,,IP Digital Video Surveillance,,,P.S. 199,,,,
1684,,Bronx,X104,,,09,,,,,Low-Voltage Electrical Systems,,,P.S. 199,,,,
1685,,Bronx,X109,,,09,,,,,Classroom Connectivity,,,P.S. 109,,,,
1686,,Bronx,X109,,,09,,,,,IP Digital Video Surveillance,,,P.S. 109,,,,
1687,,Bronx,X109,,,09,,,,,New/Retrofit Telephone/Intercom System,,,P.S. 109,,,,
1688,,Bronx,X110,,,09,,,,,Boiler Conversion,,,P.S. 110,,,,
1689,,Bronx,X110,,,09,,,,,Boiler Conversion,,,P.S. 110,,,,
1690,,Bronx,X110,,,09,,,,,Cimate Control,,,P.S. 110,,,,
1691,,Bronx,X110,,,09,,,,,Classroom Connectivity,,,P.S. 110,,,,
1692,,Bronx,X110,,,09,,,,,Lighting Fixtures,,,P.S. 110,,,,
1693,,Bronx,X110,,,09,,,,,New/Retrofit Telephone/Intercom System,,,P.S. 110,,,,
1694,,Bronx,X110,,,09,,,,,Room Conversions/Partitioning,,,P.S. 110,,,,
1695,,Bronx,X114,,,09,,,,,Auditorium Upgrade,,,P.S. 114,,,,
1696,,Bronx,X114,,,09,,,,,Classroom Connectivity,,,P.S. 114,,,,
1697,,Bronx,X114,,,09,,,,,Low-Voltage Electrical Systems,,,P.S. 114,,,,
1698,,Bronx,X114,,,09,,,,,New/Retrofit Telephone/Intercom System,,,P.S. 114,,,,
1699,,Bronx,X117,,,09,,,,,Classroom Connectivity,,,I.S. 117,,,,
1700,,Bronx,X117,,,09,,,,,Exterior Masonry,,,I.S. 117,,,,
1701,,Bronx,X117,,,09,,,,,IP Digital Video Surveillance,,,I.S. 117,,,,
1702,,Bronx,X117,,,09,,,,,Lighting Fixtures,,,I.S. 117,,,,
1703,,Bronx,X117,,,09,,,,,Parapets,,,I.S. 117,,,,
1704,,Bronx,X117,,,09,,,,,Roofs,,,I.S. 117,,,,
1705,,Bronx,X117,,,09,,,,,Toilets-Students,,,I.S. 117,,,,
1706,,Bronx,X126,,,09,,,,,Boiler Conversion,,,P.S. 126 (ECF),,,,
1707,,Bronx,X126,,,09,,,,,Classroom Connectivity,,,P.S. 126 (ECF),,,,
1708,,Bronx,X126,,,09,,,,,New/Retrofit Telephone/Intercom System,,,P.S. 126 (ECF),,,,
1709,,Bronx,X132,,,09,,,,,Boiler Conversion,,,P.S. 132,,,,
1710,,Bronx,X132,,,09,,,,,Classroom Connectivity,,,P.S. 132,,,,
1711,,Bronx,X132,,,09,,,,,Climate Control,,,P.S. 132,,,,
1712,,Bronx,X132,,,09,,,,,IP Digital Video Surveillance,,,P.S. 132,,,,
1713,,Bronx,X132,,,09,,,,,Low-Voltage Electrical Systems,,,P.S. 132,,,,
1714,,Bronx,X132,,,09,,,,,New/Retrofit Telephone/Intercom System,,,P.S. 132,,,,
1715,,Bronx,X145,,,09,,,,,Boiler Conversion,,,I.S. 145,,,,
1716,,Bronx,X145,,,09,,,,,Classroom Connectivity,,,I.S. 145,,,,
1717,,Bronx,X145,,,09,,,,,Emergency Stabilization,,,I.S. 145,,,,
1718,,Bronx,X145,,,09,,,,,IP Digital Video Surveillance,,,I.S. 145,,,,
1719,,Bronx,X147,,,09,,,,,Boiler Conversion,,,I.S. 339 (OLD 147),,,,
1720,,Bronx,X147,,,09,,,,,Classroom Connectivity,,,I.S. 339 (OLD 147),,,,
