borough,buildingid,actualestcompletion,constrstart,designstart,forecastcapacity,fundingreqd,location,neededtocomplete,previousappropriations,projectid,totalestcost,district,schoolname,description,type,source,geom
Manhattan,M102,,,,,,,,,DSF0000785684,"40,221",4,P.S. 102,State of Good Repair - System Replacements - Heating Plant Upgrade,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E61000009148DBF8137C52C0C8409E5DBE654440
Manhattan,M108,,,,,,,,,DSF0000898617,3530306,04,P.S. 108,State of Good Repair - System Replacements - Exterior Masonry,State of Good Repair ,sca_cp_programs_FY2020-24,0101000020E6100000AB24B20FB27C52C0CAC51858C7654440
Manhattan,M108,,,,,,,,,DSF0000898613,1432584,04,P.S. 108,State of Good Repair - Building Upgrade - Flood Elimination,State of Good Repair ,sca_cp_programs_FY2020-24,0101000020E6100000AB24B20FB27C52C0CAC51858C7654440
Manhattan,M108,,,,,,,,,DSF0000898614,3021887,04,P.S. 108,State of Good Repair - System Replacements - Roofs,State of Good Repair ,sca_cp_programs_FY2020-24,0101000020E6100000AB24B20FB27C52C0CAC51858C7654440
Manhattan,M108,,,,,,,,,DSF0000831121,"735,748",4,P.S. 108,State of Good Repair - Building Upgrade - Low-Voltage Electrical System,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000AB24B20FB27C52C0CAC51858C7654440
Manhattan,M108,,,,,,,,,DSF0000866195,"40,040",4,P.S. 108,Classroom Connectivity,School Programs,sca_cp_programs_FY2015-19,0101000020E6100000AB24B20FB27C52C0CAC51858C7654440
Manhattan,M108,,,,,,,,,DSF0000798339,"4,756,691",4,P.S. 108,State of Good Repair - Building Upgrade - Boiler Conversion,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000AB24B20FB27C52C0CAC51858C7654440
Manhattan,M108,,,,,,,,,DSF0000844074,"240,228",4,P.S. 108,State of Good Repair - System Replacements - Kitchen Areas,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000AB24B20FB27C52C0CAC51858C7654440
Manhattan,M108,,,,,,,,,DSF0000798341,"1,295,725",4,P.S. 108,State of Good Repair - Building Upgrade - Climate Control,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000AB24B20FB27C52C0CAC51858C7654440
Manhattan,M112,,,,,,,,,DSF0000799440,"1,013,755",4,P.S. 112 (TANDEM M206),State of Good Repair - Building Upgrade - Interior Spaces,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E610000007EC6AF2947B52C086E28E37F9654440
Manhattan,M112,,,,,,,,,DSF0000866881,"6,000",4,P.S. 112 (TANDEM M206),State of Good Repair - System Replacements - Electrical Systems,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E610000007EC6AF2947B52C086E28E37F9654440
Manhattan,M112,,,,,,,,,DSF0000799443,"3,888,754",4,P.S. 112 (TANDEM M206),State of Good Repair - Building Upgrade - Flood Elimination,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E610000007EC6AF2947B52C086E28E37F9654440
Manhattan,M112,,,,,,,,,DSF0000799441,"5,714,416",4,P.S. 112 (TANDEM M206),State of Good Repair - System Replacements - Heating Plant Upgrade,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E610000007EC6AF2947B52C086E28E37F9654440
Manhattan,M112,,,,,,,,,DSF0000752353,"1,137,886",4,P.S. 112 (TANDEM M206),State of Good Repair - Building Upgrade - Climate Control,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E610000007EC6AF2947B52C086E28E37F9654440
Manhattan,M112,,,,,,,,,DSF0000799442,"445,470",4,P.S. 112 (TANDEM M206),State of Good Repair - System Replacements - Electrical Systems,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E610000007EC6AF2947B52C086E28E37F9654440
Manhattan,M146,,,,,,,,,DSF0000866887,"24,000",4,P.S. 146,State of Good Repair - System Replacements - Electrical Systems,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E610000009185DDE1C7C52C0BBF2599E07654440
Manhattan,M146,,,,,,,,,DSF0000823649,"131,326",4,P.S. 146,State of Good Repair - System Replacements - Toilets - Students,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E610000009185DDE1C7C52C0BBF2599E07654440
Manhattan,M146,,,,,,,,,DSF0000866197,"40,040",4,P.S. 146,Classroom Connectivity,School Programs,sca_cp_programs_FY2015-19,0101000020E610000009185DDE1C7C52C0BBF2599E07654440
Manhattan,M146,,,,,,,,,DSF0000809566,"168,952",4,P.S. 146,State of Good Repair - System Replacements - Toilets - Students,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E610000009185DDE1C7C52C0BBF2599E07654440
Manhattan,M155,,,,,,,,,DSF0000786334,"35,786",4,P.S. 155,State of Good Repair - System Replacements - Heating Plant Upgrade,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E61000009E077767ED7B52C08884EFFD0D664440
Manhattan,M155,,,,,,,,,DSF0000809665,"101,351",4,P.S. 155,State of Good Repair - System Replacements - Toilets - Students,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E61000009E077767ED7B52C08884EFFD0D664440
Manhattan,M155,,,,,,,,,DSF0000866888,"21,000",4,P.S. 155,State of Good Repair - System Replacements - Electrical Systems,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E61000009E077767ED7B52C08884EFFD0D664440
Manhattan,M171,,,,,,,,,DSF0000844009,"53,137",4,P.S. 171,State of Good Repair - System Replacements - Heating Plant Upgrade,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E61000005184D4EDEC7C52C09738F24064654440
Manhattan,M171,,,,,,,,,DSF0000786496,"111,095",4,P.S. 171,State of Good Repair - System Replacements - Toilets - Students,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E61000005184D4EDEC7C52C09738F24064654440
Manhattan,M171,,,,,,,,,DSF0000821722,"50,675",4,P.S. 171,State of Good Repair - System Replacements - Toilets - Students,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E61000005184D4EDEC7C52C09738F24064654440
Manhattan,M099,,,,,,,,,DSF0000865769,"193,538",4,I.S. 99,"Educational Enhancements - Educational Enhancements - School Improvement and Restructuring
Technology",Educational Enhancements ,sca_cp_programs_FY2015-19,0101000020E610000041BAD8B4527C52C0333509DE90644440
Manhattan,M099,,,,,,,,,DSF0000866879,"9,000",4,I.S. 99,State of Good Repair - System Replacements - Electrical Systems,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E610000041BAD8B4527C52C0333509DE90644440
Manhattan,M099,,,,,,,,,DSF0000822062,"188,176",4,I.S. 99,New/Retrofit Telephone/Intercom Systems,School Programs,sca_cp_programs_FY2015-19,0101000020E610000041BAD8B4527C52C0333509DE90644440
Manhattan,M099,,,,,,,,,DSF0000866119,"77,690",4,I.S. 99,State of Good Repair - System Replacements - Heating Plant Upgrade,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E610000041BAD8B4527C52C0333509DE90644440
Manhattan,M099,,,,,,,,,DSF0000808993,"92,553",4,I.S. 99,State of Good Repair - System Replacements - Toilets - Students,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E610000041BAD8B4527C52C0333509DE90644440
Manhattan,M099,,,,,,,,,DSF0000867099,"755,000",4,I.S. 99,Educational Enhancements - Educational Enhancements - Room Conversions / Partitioning,Educational Enhancements ,sca_cp_programs_FY2015-19,0101000020E610000041BAD8B4527C52C0333509DE90644440
Manhattan,M099,,,,,,,,,DSF0000822240,"2,418,451",4,I.S. 99,State of Good Repair - Building Upgrade - Interior Spaces,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E610000041BAD8B4527C52C0333509DE90644440
Manhattan,M646,,,,,,,,,DSF0000866904,"6,000",78M,SCL COOP TECH ED (MNH VOC HS),State of Good Repair - System Replacements - Electrical Systems,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000D40FEA22857C52C091F3FE3F4E644440
Manhattan,M101,,,,,,,,,DSF0000843877,"98,035",4,P.S. 101,"Educational Enhancements - Educational Enhancements - School Improvement and Restructuring
Technology",Educational Enhancements ,sca_cp_programs_FY2015-19,0101000020E6100000FC00A436717C52C0D9B11188D7654440
Manhattan,M101,,,,,,,,,DSF0000821758,"154,123",4,P.S. 101,"Educational Enhancements - Educational Enhancements - School Improvement and Restructuring
Technology",Educational Enhancements ,sca_cp_programs_FY2015-19,0101000020E6100000FC00A436717C52C0D9B11188D7654440
Manhattan,M101,,,,,,,,,DSF0000865764,"145,731",4,P.S. 101,"Educational Enhancements - Educational Enhancements - School Improvement and Restructuring
Technology",Educational Enhancements ,sca_cp_programs_FY2015-19,0101000020E6100000FC00A436717C52C0D9B11188D7654440
Manhattan,M101,,,,,,,,,DSF0000845620,"152,617",4,P.S. 101,"Educational Enhancements - Educational Enhancements - School Improvement and Restructuring
Technology",Educational Enhancements ,sca_cp_programs_FY2015-19,0101000020E6100000FC00A436717C52C0D9B11188D7654440
Manhattan,M101,,,,,,,,,DSF0000776055,"701,034",4,P.S. 101,IP Surveillance Camera Installation,School Programs,sca_cp_programs_FY2015-19,0101000020E6100000FC00A436717C52C0D9B11188D7654440
Manhattan,M101,,,,,,,,,DSF0000866880,"3,000",4,P.S. 101,State of Good Repair - System Replacements - Electrical Systems,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000FC00A436717C52C0D9B11188D7654440
Manhattan,M101,,,,,,,,,DSF0000844090,"391,882",4,P.S. 101,Educational Enhancements - Educational Enhancements - Room Conversions / Partitioning,Educational Enhancements ,sca_cp_programs_FY2015-19,0101000020E6100000FC00A436717C52C0D9B11188D7654440
Manhattan,M045,,,,,,,,,DSF0000808442,"1,059,707",4,I.S. 45,State of Good Repair - Building Upgrade - Flood Elimination,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000116F9D7FBB7B52C01AA6B6D441664440
Manhattan,M045,,,,,,,,,DSF0000785076,"1,829,131",4,I.S. 45,State of Good Repair - Building Upgrade - Lighting Fixtures,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000116F9D7FBB7B52C01AA6B6D441664440
Manhattan,M045,,,,,,,,,DSF0000866871,"3,000",4,I.S. 45,State of Good Repair - System Replacements - Electrical Systems,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000116F9D7FBB7B52C01AA6B6D441664440
Manhattan,M045,,,,,,,,,DSF0000823630,"3,202,716",4,I.S. 45,Educational Enhancements - Educational Enhancements - Room Conversions / Partitioning,Educational Enhancements ,sca_cp_programs_FY2015-19,0101000020E6100000116F9D7FBB7B52C01AA6B6D441664440
Manhattan,M045,,,,,,,,,DSF0000808446,"101,351",4,I.S. 45,State of Good Repair - System Replacements - Toilets - Students,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000116F9D7FBB7B52C01AA6B6D441664440
Manhattan,M045,,,,,,,,,DSF0000830519,"223,087",4,I.S. 45,State of Good Repair - System Replacements - Exterior Masonry,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000116F9D7FBB7B52C01AA6B6D441664440
Manhattan,M045,,,,,,,,,DSF0000844114,"627,605",4,I.S. 45,Educational Enhancements - Educational Enhancements - Room Conversions / Partitioning,Educational Enhancements ,sca_cp_programs_FY2015-19,0101000020E6100000116F9D7FBB7B52C01AA6B6D441664440
Manhattan,M435,,,,,,,,,DSF0000821616,"479,066",78M,MANHTN CT FOR MATH & SCI. HS,State of Good Repair - System Replacements - Cafeteria / Multipurpose Room Upgrade,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E61000001763601DC77B52C0DFDDCA129D654440
Manhattan,M435,,,,,,,,,DSF0000810214,"75,000",78M,MANHTN CT FOR MATH & SCI. HS,State of Good Repair - System Replacements - Toilets - Students,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E61000001763601DC77B52C0DFDDCA129D654440
Manhattan,M495,,,,,,,,,DSF0000787172,"538,749",78M,PARK EAST HS,State of Good Repair - Building Upgrade - Lighting Fixtures,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E610000002F22554707C52C0768A558330654440
Manhattan,M495,,,,,,,,,DSF0000865911,"222,689",78M,PARK EAST HS,Classroom Connectivity,School Programs,sca_cp_programs_FY2015-19,0101000020E610000002F22554707C52C0768A558330654440
Manhattan,M013,,,,,,,,,DSF0000866863,"6,000",4,I.S. 13,State of Good Repair - System Replacements - Electrical Systems,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000679C86A8C27C52C02EE3A6069A654440
Manhattan,M107,,,,,,,,,DSF0000865908,"179,408",78M,THE HERITAGE SCHOOL,Classroom Connectivity,School Programs,sca_cp_programs_FY2015-19,0101000020E610000019710168947C52C071A94A5B5C654440
Manhattan,M107,,,,,,,,,DSF0000866002,"170,000",78M,THE HERITAGE SCHOOL,State of Good Repair - System Replacements - Toilets - Students,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E610000019710168947C52C071A94A5B5C654440
Manhattan,M192,,,,,,,,,DSF0000912087,200000,06,P.S. 192,State of Good Repair - System Replacements - Electrical Systems,State of Good Repair ,sca_cp_programs_FY2020-24,0101000020E61000004030478FDF7C52C0CC46E7FC14694440
Manhattan,M030,,,,,,,,,DSF0000865854,"273,528",5,P.S. 30,"Educational Enhancements - Educational Enhancements - School Improvement and Restructuring
Technology",Educational Enhancements ,sca_cp_programs_FY2015-19,0101000020E6100000FC3905F9D97B52C07A8EC87729674440
Manhattan,M030,,,,,,,,,DSF0000798360,"1,739,060",5,P.S. 30,State of Good Repair - Building Upgrade - Lighting Fixtures,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000FC3905F9D97B52C07A8EC87729674440
Manhattan,M030,,,,,,,,,DSF0000777288,"430,587",5,P.S. 30,Educational Enhancements - Educational Enhancements - Room Conversions / Partitioning,Educational Enhancements ,sca_cp_programs_FY2015-19,0101000020E6100000FC3905F9D97B52C07A8EC87729674440
Manhattan,M030,,,,,,,,,DSF0000866866,"6,000",5,P.S. 30,State of Good Repair - System Replacements - Electrical Systems,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000FC3905F9D97B52C07A8EC87729674440
Manhattan,M030,,,,,,,,,DSF0000843867,"92,018",5,P.S. 30,"Educational Enhancements - Educational Enhancements - School Improvement and Restructuring
Technology",Educational Enhancements ,sca_cp_programs_FY2015-19,0101000020E6100000FC3905F9D97B52C07A8EC87729674440
Manhattan,M030,,,,,,,,,DSF0000821750,"72,075",5,P.S. 30,"Educational Enhancements - Educational Enhancements - School Improvement and Restructuring
Technology",Educational Enhancements ,sca_cp_programs_FY2015-19,0101000020E6100000FC3905F9D97B52C07A8EC87729674440
Manhattan,M030,,,,,,,,,DSF0000865812,"19,019",5,P.S. 30,State of Good Repair - System Replacements - Auditorium  Upgrade,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000FC3905F9D97B52C07A8EC87729674440
Manhattan,M030,,,,,,,,,DSF0000843872,"241,539",5,P.S. 30,"Educational Enhancements - Educational Enhancements - School Improvement and Restructuring
Technology",Educational Enhancements ,sca_cp_programs_FY2015-19,0101000020E6100000FC3905F9D97B52C07A8EC87729674440
Manhattan,M036,,,,,,,,,DSF0000798361,"913,656",5,P.S. 36,State of Good Repair - Building Upgrade - Lighting Fixtures,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E61000008E209562477D52C0087767EDB6674440
Manhattan,M036,,,,,,,,,DSF0000808345,"92,266",5,P.S. 36,State of Good Repair - System Replacements - Toilets - Students,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E61000008E209562477D52C0087767EDB6674440
Manhattan,M092,,,,,,,,,DSF0000865895,"196,299",5,P.S. 92,Educational Enhancements - Educational Enhancements - Accessibility,Educational Enhancements ,sca_cp_programs_FY2015-19,0101000020E6100000A2EC2DE57C7C52C0BEDBBC7152684440
Manhattan,M092,,,,,,,,,DSF0000866280,"450,762",5,P.S. 92,Educational Enhancements - Educational Enhancements - Accessibility,Educational Enhancements ,sca_cp_programs_FY2015-19,0101000020E6100000A2EC2DE57C7C52C0BEDBBC7152684440
Manhattan,M092,,,,,,,,,DSF0000823646,"564,336",5,P.S. 92,Educational Enhancements - Educational Enhancements - Room Conversions / Partitioning,Educational Enhancements ,sca_cp_programs_FY2015-19,0101000020E6100000A2EC2DE57C7C52C0BEDBBC7152684440
Manhattan,M092,,,,,,,,,DSF0000801028,"1,794,849",5,P.S. 92,Interior Spaces,School Programs,sca_cp_programs_FY2015-19,0101000020E6100000A2EC2DE57C7C52C0BEDBBC7152684440
Manhattan,M092,,,,,,,,,DSF0000808919,"150,000",5,P.S. 92,State of Good Repair - System Replacements - Toilets - Students,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000A2EC2DE57C7C52C0BEDBBC7152684440
Manhattan,M123,,,,,,,,,DSF0000785880,"5,783,925",5,P.S. 123,State of Good Repair - Building Upgrade - Flood Elimination,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000D8101C97717C52C086AB0320EE684440
Manhattan,M123,,,,,,,,,DSF0000888854,"554,000",5,P.S. 123,Educational Enhancements - Educational Enhancements - Room Conversions / Partitioning,Educational Enhancements ,sca_cp_programs_FY2015-19,0101000020E6100000D8101C97717C52C086AB0320EE684440
Manhattan,M123,,,,,,,,,DSF0000823648,"186,676",5,P.S. 123,State of Good Repair - System Replacements - Toilets - Students,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000D8101C97717C52C086AB0320EE684440
Manhattan,M123,,,,,,,,,DSF0000867115,"5,530",5,P.S. 123,State of Good Repair - System Replacements - Electrical Systems,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000D8101C97717C52C086AB0320EE684440
Manhattan,M125,,,,,,,,,DSF0000798164,"785,079",5,P.S. 125,Educational Enhancements - Educational Enhancements - Room Conversions / Partitioning,Educational Enhancements ,sca_cp_programs_FY2015-19,0101000020E6100000BE840A0E2F7D52C02D060FD3BE674440
Manhattan,M125,,,,,,,,,DSF0000799813,"384,991",5,P.S. 125,State of Good Repair - System Replacements - Heating Plant Upgrade,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000BE840A0E2F7D52C02D060FD3BE674440
Manhattan,M125,,,,,,,,,DSF0000785922,"856,345",5,P.S. 125,State of Good Repair - Building Upgrade - Lighting Fixtures,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000BE840A0E2F7D52C02D060FD3BE674440
Manhattan,M125,,,,,,,,,DSF0000809264,"144,786",5,P.S. 125,State of Good Repair - System Replacements - Heating Plant Upgrade,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000BE840A0E2F7D52C02D060FD3BE674440
Manhattan,M125,,,,,,,,,DSF0000844705,"190,956",5,P.S. 125,Educational Enhancements - Educational Enhancements - Accessibility,Educational Enhancements ,sca_cp_programs_FY2015-19,0101000020E6100000BE840A0E2F7D52C02D060FD3BE674440
Manhattan,M129,,,,,,,,,DSF0000912084,180000,05,P.S. 129,State of Good Repair - System Replacements - Electrical Systems,State of Good Repair ,sca_cp_programs_FY2020-24,0101000020E6100000E02A4F20EC7C52C0478E740646684440
Manhattan,M129,,,,,,,,,DSF0000785990,942232,05,P.S. 129,State of Good Repair - System Replacements - Domestic Piping,State of Good Repair ,sca_cp_programs_FY2020-24,0101000020E6100000E02A4F20EC7C52C0478E740646684440
Manhattan,M129,,,,,,,,,DSF0000821657,"1,194,434",5,P.S. 129,Educational Enhancements - Educational Enhancements - Science Lab Upgrades,Educational Enhancements ,sca_cp_programs_FY2015-19,0101000020E6100000E02A4F20EC7C52C0478E740646684440
Manhattan,M129,,,,,,,,,DSF0000809324,"101,351",5,P.S. 129,State of Good Repair - System Replacements - Toilets - Students,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000E02A4F20EC7C52C0478E740646684440
Manhattan,M133,,,,,,,,,DSF0000763455,"1,200,250",5,P.S. 133,State of Good Repair - Building Upgrade - Low-Voltage Electrical System,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000459BE3DC267C52C0533E0455A3674440
Manhattan,M133,,,,,,,,,DSF0000866885,"12,000",5,P.S. 133,State of Good Repair - System Replacements - Electrical Systems,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000459BE3DC267C52C0533E0455A3674440
Manhattan,M136,,,,,,,,,DSF0000912085,160000,78M,I.S. 136,State of Good Repair - System Replacements - Electrical Systems,State of Good Repair ,sca_cp_programs_FY2020-24,0101000020E6100000B6813B50A77C52C043554CA59F684440
Manhattan,M136,,,,,,,,,DSF0000865810,"220,609",78M,I.S. 136,System Expansion - New Physical Education Facilities - Playgrounds,System Expansion ,sca_cp_programs_FY2015-19,0101000020E6100000B6813B50A77C52C043554CA59F684440
Bronx,X400,,,,,,,,,DSF0000867075,"337,090",78X,MORRIS HS,IP Surveillance Camera Installation,School Programs,sca_cp_programs_FY2015-19,0101000020E61000005CC7B8E2E27952C0E4654D2CF0694440
Manhattan,M136,,,,,,,,,DSF0000786109,"106,771",78M,I.S. 136,State of Good Repair - System Replacements - Toilets - Students,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000B6813B50A77C52C043554CA59F684440
Manhattan,M136,,,,,,,,,DSF0000821612,"457,059",78M,I.S. 136,State of Good Repair - System Replacements - Cafeteria / Multipurpose Room Upgrade,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000B6813B50A77C52C043554CA59F684440
Manhattan,M136,,,,,,,,,DSF0000866120,"77,690",78M,I.S. 136,State of Good Repair - System Replacements - Heating Plant Upgrade,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000B6813B50A77C52C043554CA59F684440
Manhattan,M136,,,,,,,,,DSF0000799586,"118,389",78M,I.S. 136,State of Good Repair - Building Upgrade - Lighting Fixtures,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000B6813B50A77C52C043554CA59F684440
Bronx,X069,,,,,,,,,DSF0000866215,"22,121",8,P.S. 69,Classroom Connectivity,School Programs,sca_cp_programs_FY2015-19,0101000020E6100000B83F170D197752C0A2EF6E6589684440
Bronx,X279,,,,,,,,,DSF0000866151,"883,449",10,P.S. 279,State of Good Repair - System Replacements - Roofs,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000A69718CBF47952C0F4531C075E6D4440
Manhattan,M501,,,,,,,,,DSF0000799819,"71,249",78M,ARTHUR SCHOMBURG HS (IS 201),State of Good Repair - System Replacements - Heating Plant Upgrade,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E61000001FF296AB1F7C52C0562C7E5358674440
Manhattan,M501,,,,,,,,,DSF0000832581,"202,969",78M,ARTHUR SCHOMBURG HS (IS 201),"State of Good Repair - System Replacements - Heating Plant Upgrade
Ventilation",State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E61000001FF296AB1F7C52C0562C7E5358674440
Manhattan,M501,,,,,,,,,DSF0000798316,"499,029",78M,ARTHUR SCHOMBURG HS (IS 201),State of Good Repair - Building Upgrade - Lighting Fixtures,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E61000001FF296AB1F7C52C0562C7E5358674440
Manhattan,M501,,,,,,,,,DSF0000888807,"10,217,126",78M,ARTHUR SCHOMBURG HS (IS 201),State of Good Repair - System Replacements - Exterior Masonry,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E61000001FF296AB1F7C52C0562C7E5358674440
Queens,Q190,,,,,,,,,DSF0000868102,"450,000",28,J.H.S. 190,IP Surveillance Camera Installation,School Programs,sca_cp_programs_FY2015-19,0101000020E61000004CC2853C827652C08ECBB8A9815C4440
Manhattan,M501,,,,,,,,,DSF0000844115,"575,140",78M,ARTHUR SCHOMBURG HS (IS 201),Educational Enhancements - Educational Enhancements - Room Conversions / Partitioning,Educational Enhancements ,sca_cp_programs_FY2015-19,0101000020E61000001FF296AB1F7C52C0562C7E5358674440
Manhattan,M501,,,,,,,,,DSF0000854533,"1,606,982",78M,ARTHUR SCHOMBURG HS (IS 201),State of Good Repair - System Replacements - Paved Area - Concrete,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E61000001FF296AB1F7C52C0562C7E5358674440
Manhattan,M501,,,,,,,,,DSF0000821723,"317,237",78M,ARTHUR SCHOMBURG HS (IS 201),State of Good Repair - System Replacements - Toilets - Students,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E61000001FF296AB1F7C52C0562C7E5358674440
Manhattan,M161,,,,,,,,,DSF0000798537,909558,05,P.S. 161,State of Good Repair - System Replacements - Domestic Piping,State of Good Repair ,sca_cp_programs_FY2020-24,0101000020E6100000D1AFAD9FFE7C52C0226C787AA5684440
Manhattan,M161,,,,,,,,,DSF0000866890,"6,000",5,P.S. 161,State of Good Repair - System Replacements - Electrical Systems,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000D1AFAD9FFE7C52C0226C787AA5684440
Manhattan,M161,,,,,,,,,DSF0000786370,"31,680",5,P.S. 161,State of Good Repair - System Replacements - Heating Plant Upgrade,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000D1AFAD9FFE7C52C0226C787AA5684440
Manhattan,M175,,,,,,,,,DSF0000799817,"181,735",5,P.S. 175,State of Good Repair - System Replacements - Heating Plant Upgrade,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000679AB0FD647C52C04B92E7FA3E684440
Manhattan,M175,,,,,,,,,DSF0000809867,"144,786",5,P.S. 175,State of Good Repair - System Replacements - Heating Plant Upgrade,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000679AB0FD647C52C04B92E7FA3E684440
Manhattan,M175,,,,,,,,,DSF0000786534,"1,277,292",5,P.S. 175,State of Good Repair - Building Upgrade - Lighting Fixtures,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000679AB0FD647C52C04B92E7FA3E684440
Manhattan,M194,,,,,,,,,DSF0000866200,"22,121",5,P.S. 194,Classroom Connectivity,School Programs,sca_cp_programs_FY2015-19,0101000020E6100000CB9D9960387C52C07AC2120F28694440
Manhattan,M194,,,,,,,,,DSF0000786707,"595,865",5,P.S. 194,State of Good Repair - Building Upgrade - Lighting Fixtures,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000CB9D9960387C52C07AC2120F28694440
Manhattan,M194,,,,,,,,,DSF0000866009,"170,000",5,P.S. 194,State of Good Repair - System Replacements - Toilets - Students,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000CB9D9960387C52C07AC2120F28694440
Manhattan,M197,,,,,,,,,DSF0000764120,"1,577,073",5,P.S. 197,State of Good Repair - Building Upgrade - Lighting Fixtures,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E610000090F46915FD7B52C0B3D0CE6916684440
Manhattan,M197,,,,,,,,,DSF0000764126,"1,760,132",5,P.S. 197,State of Good Repair - System Replacements - Electrical Systems,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E610000090F46915FD7B52C0B3D0CE6916684440
Manhattan,M197,,,,,,,,,DSF0000810070,"50,675",5,P.S. 197,State of Good Repair - System Replacements - Toilets - Students,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E610000090F46915FD7B52C0B3D0CE6916684440
Manhattan,M200,,,,,,,,,DSF0000866010,"170,000",5,P.S. 200 (TANDEM M010),State of Good Repair - System Replacements - Toilets - Students,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000CFDC43C2F77B52C0965B5A0D89694440
Manhattan,M911,,,,,,,,,DSF0000787678,"723,690",78M,HARLEM RENAISSANCE HS (OLD M24),State of Good Repair - Building Upgrade - Lighting Fixtures,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000AFCF9CF5297C52C0EC4B361E6C674440
