district,schoolname,project#,description,fyconstrstart,total,buildingid,geom,facuid,cd
78M,MID MAN ADULT LRNG CTR (81) - Manhattan,DSF0000406326,State of Good Repair - System Replacements - Heating Plant Upgrade,2010,5123288,,,12390,
78M,MID MAN ADULT LRNG CTR (81) - Manhattan,DSF0000673666,State of Good Repair - System Replacements - Electrical Systems,2010,1671053,,,12390,
08,I.S. 123 - Bronx,DSF0000731137,State of Good Repair - System Replacements - Heating Plant Upgrade,2012,268120,X123,0101000020E610000002899D9AEF7752C051DAA19B98694440,12390,209
78M,MARTIN LUTHER KING JR. HS - Manhattan,DSF0000407881,State of Good Repair - System Replacements - Auditorium Upgrade,2010,1311365,,,12390,
78M,MARTIN LUTHER KING JR. HS - Manhattan,DSF0000407883,Safety and Security - Safety and Security - Safety Systems,2010,700483,,,12390,
78M,MARTIN LUTHER KING JR. HS - Manhattan,DSF0000487764,Educational Enhancements - Educational Enhancements - School Improvement and,2010,2043219,,,12390,
78M,MARTIN LUTHER KING JR. HS - Manhattan,DSF0000687154,Educational Enhancements - Educational Enhancements - School Improvement and,2010,7944689,,,12390,
78M,FORSYTH HS (AUXSVC-OLD 91) - Manhattan,DSF0000407933,State of Good Repair - Building Upgrade - Flood Elimination,2010,2744158,,,12390,
31,I.S. 27 - Staten Island,DSF0000746942,State of Good Repair - System Replacements - Heating Plant Upgrade,2012,106280,R027,0101000020E61000004F89553B868752C0D31A14746B504440,12390,501
23,I.S. 271 - Brooklyn,DSF0000731133,Educational Enhancements - Educational Enhancements - Room,2010,71460,K271,0101000020E61000001408695F957A52C0F0BF2DFECA564440,12390,316
23,I.S. 271 - Brooklyn,DSF0000715339,State of Good Repair - System Replacements - Electrical Systems,2010,45703,K271,0101000020E61000001408695F957A52C0F0BF2DFECA564440,12390,316
23,I.S. 271 - Brooklyn,DSF0000731134,State of Good Repair - System Replacements - Electrical Systems,2010,206954,K271,0101000020E61000001408695F957A52C0F0BF2DFECA564440,12390,316
24,I.S. 5 - Queens,DSF0000676066,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2014,1716805,Q005,0101000020E6100000580EE7F0D27852C05A8A4568635E4440,12390,404
21,I.S. 98 - Brooklyn,DSF0000666482,Safety and Security - Safety and Security - Safety Systems,2011,351177,K043,0101000020E61000004818BDD40E7D52C0A4B4D4DEB84A4440,12390,315
12,I.S. 98 - Bronx,DSF0000749630,State of Good Repair - System Replacements - Roofs,2013,5613917,K043,0101000020E61000004818BDD40E7D52C0A4B4D4DEB84A4440,12390,315
21,I.S. 98 - Brooklyn,DSF0000775861,Gymnasium Upgrade,2014,51369,K043,0101000020E61000004818BDD40E7D52C0A4B4D4DEB84A4440,12390,315
12,I.S. 98 - Bronx,DSF0000683831,State of Good Repair - System Replacements - Paved Area-Concrete,2011,427891,K043,0101000020E61000004818BDD40E7D52C0A4B4D4DEB84A4440,12390,315
12,I.S. 98 - Bronx,DSF0000728327,State of Good Repair - System Replacements - Cafeteria / Multipurpose Room Upgrade,2012,298966,K043,0101000020E61000004818BDD40E7D52C0A4B4D4DEB84A4440,12390,315
21,I.S. 98 - Brooklyn,DSF0000666470,State of Good Repair - System Replacements - Roofs,2011,2887523,K043,0101000020E61000004818BDD40E7D52C0A4B4D4DEB84A4440,12390,315
21,I.S. 98 - Brooklyn,DSF0000666471,State of Good Repair - System Replacements - Parapets,2011,445353,K043,0101000020E61000004818BDD40E7D52C0A4B4D4DEB84A4440,12390,315
04,J.H.S. 117 - Manhattan,DSF0000763207,State of Good Repair - Building Upgrade - Elevators and Escalators,2014,176198,M117,0101000020E6100000EF047B104A7C52C043084EB472654440,12390,111
22,P.S. 152 - Brooklyn,DSF0000401633,Exterior Masonry,2010,TBD,Q152,0101000020E61000002AD8AB9F9F7952C000CA658364604440,12390,402
78X,LEHMAN HS AF - Bronx,DSF0000416283,State of Good Repair - Rehabilitation of Physical Education Facilities - Athletic Fields,2011,4673874,,,12390,
78X,CHILDS HS AF - Bronx,DSF0000708531,State of Good Repair - Rehabilitation of Physical Education Facilities - Athletic Fields,2012,1013852,,,12390,
78X,THEODORE ROOSEVELT EDUCATIONAL CAMPUS - Bronx,DSF0000708562,State of Good Repair - System Replacements - Exterior Masonry,2011,1708879,,,12390,
78X,THEODORE ROOSEVELT EDUCATIONAL CAMPUS - Bronx,DSF0000708566,State of Good Repair - System Replacements - Floors,2011,1873935,,,12390,
78X,THEODORE ROOSEVELT EDUCATIONAL CAMPUS - Bronx,DSF0000752900,State of Good Repair - System Replacements - Electrical Systems,2014,1305673,,,12390,
78X,THEODORE ROOSEVELT EDUCATIONAL CAMPUS - Bronx,DSF0000774333,State of Good Repair - Building Upgrade - Climate Control,2014,2155851,,,12390,
78X,THEODORE ROOSEVELT EDUCATIONAL CAMPUS - Bronx,SCA0000022558,State of Good Repair - System Replacements - Heating Plant Upgrade,2014,7434133,,,12390,
78X,CLINTON HS AF - Bronx,DSF0000416406,State of Good Repair - Rehabilitation of Physical Education Facilities - Athletic Fields,2010,2874698,,,12390,
78X,ADLAI E. STEVENSON EDUCATIONAL CAMPUS - Bronx,DSF0000544495,State of Good Repair - Building Upgrade - Interior Spaces,2010,576778,,,12390,
78X,ADLAI E. STEVENSON EDUCATIONAL CAMPUS - Bronx,DSF0000620448,State of Good Repair - Building Upgrade - Flood Elimination,2010,787560,,,12390,
78X,ADLAI E. STEVENSON EDUCATIONAL CAMPUS - Bronx,DSF0000622563,Educational Enhancements - Educational Enhancements - School Improvement and,2010,6264918,,,12390,
78X,ADLAI E. STEVENSON EDUCATIONAL CAMPUS - Bronx,DSF0000730134,State of Good Repair - System Replacements - Heating Plant Upgrade,2012,85203,,,12390,
78X,SOUTH BRONX EDUCATIONAL CAMPUS (OLD 38) - Bronx,DSF0000710009,Educational Enhancements - Educational Enhancements - Room,2011,538932,,,12390,
78X,SOUTH BRONX EDUCATIONAL CAMPUS (OLD 38) - Bronx,DSF0000752429,Science Lab Upgrades,2013,58400,,,12390,
78X,JOHN F. KENNEDY HS - Bronx,DSF0000487776,Educational Enhancements - Educational Enhancements - School Improvement and,2011,11186418,X475,0101000020E6100000A6B8B190707A52C010BC366149704440,12390,208
78K,JOHN JAY EDUCATIONAL CAMPUS - Brooklyn,DSF0000753084,Educational Enhancements - Educational Enhancements - School Improvement and,2013,2203263,K460,0101000020E61000002D7B4DF2A27E52C018A18CE0AB554440,12390,306
78M,MANHTN CT FOR MATH & SCI. HS - Manhattan,DSF0000752400,State of Good Repair - System Replacements - Roofs,2014,3905265,M435,0101000020E610000005CD031EB87B52C0D0ECC0B1A6654440,12390,111
78X,NEW SCH FOR ARTS AND SCIENCE - Bronx,DSF0000710008,Educational Enhancements - Educational Enhancements - Room,2011,269598,X039,0101000020E61000007FDBCA91767952C04B952E11AC684440,12390,202
12,P.S. 102 - Bronx,DSF0000415011,Auditorium Upgrade,2010,629089,X102,0101000020E6100000DDFA8D476D7752C0BD98680C4A6B4440,12390,209
30,P.S. 112 - Queens,DSF0000731192,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2013,556278,Q112,0101000020E6100000272BB8C9C57B52C0833299ABEB604440,12390,401
